week,open,high,low,close,source_rows,bad_hlc,bad_ohlc,first_date,last_date,null_rows,valid_hlc,valid_ohlc
1973-05-04,0.4951550316812679,0.49885034561157232,0.4951550316812679,0.49885034561157232,2,0,0,1973-05-03,1973-05-04,0,False,False
1973-05-11,0.49885034561157232,0.50254583358764648,0.49146007680205411,0.50254583358764648,5,0,0,1973-05-07,1973-05-11,0,True,True
1973-05-18,0.49885034561157232,0.50254575512265565,0.49146007680205411,0.49885034561157232,5,0,0,1973-05-14,1973-05-18,0,True,True
1973-05-25,0.49885053534950541,0.50624078512191772,0.49146017027443034,0.50624078512191772,5,0,0,1973-05-21,1973-05-25,0,True,True
1973-06-01,0.50624082964110706,0.50624082964110706,0.49885034561157232,0.49885034561157232,4,0,0,1973-05-29,1973-06-01,0,True,True
1973-06-08,0.49885044048952759,0.49885044048952759,0.49146017027443034,0.49885034561157232,5,0,0,1973-06-04,1973-06-08,0,True,True
1973-06-15,0.50254578939339778,0.50624082964110706,0.50254578939339778,0.50254583358764648,5,0,0,1973-06-11,1973-06-15,0,True,True
1973-06-22,0.50254565954187669,0.50624082964110706,0.49885034561157232,0.50254583358764648,5,0,0,1973-06-18,1973-06-22,0,True,True
1973-06-29,0.50254583358764648,0.50624082964110706,0.50254583358764648,0.50254583358764648,5,0,0,1973-06-25,1973-06-29,0,True,True
1973-07-06,0.50254578939339778,0.50624078512191772,0.50254578939339778,0.50624078512191772,4,0,0,1973-07-02,1973-07-06,0,True,True
1973-07-13,0.50624095695853966,0.51363164186477661,0.50624095695853966,0.50993627309799194,5,0,0,1973-07-09,1973-07-13,0,True,True
1973-07-20,0.50993627309799194,0.50993627309799194,0.49146026372909546,0.49146026372909546,5,0,0,1973-07-16,1973-07-20,0,True,True
1973-07-27,0.49146024700857321,0.50624082964110706,0.49146024700857321,0.49885034561157232,5,0,0,1973-07-23,1973-07-27,0,True,True
1973-08-03,0.49885034561157232,0.50624065431565612,0.4951550316812679,0.49885034561157232,5,0,0,1973-07-30,1973-08-03,0,True,True
1973-08-10,0.4988505183775504,0.50254583358764648,0.4951550316812679,0.49885034561157232,5,0,0,1973-08-06,1973-08-10,0,True,True
1973-08-17,0.49885034561157232,0.49885044048952759,0.48591729998588562,0.49885034561157232,5,0,0,1973-08-13,1973-08-17,0,True,True
1973-08-24,0.49885044048952759,0.49885044048952759,0.46744126081466669,0.47483178973197937,5,0,0,1973-08-20,1973-08-24,0,True,True
1973-08-31,0.47483178973197937,0.49146011609828211,0.47483157578284341,0.48222216963768005,5,0,0,1973-08-27,1973-08-31,0,True,True
1973-09-07,0.48591729998588562,0.49146029327008545,0.48591727077807717,0.48591729998588562,4,0,0,1973-09-04,1973-09-07,0,True,True
1973-09-14,0.48591729998588562,0.49885053534950541,0.48591727077807717,0.48591729998588562,5,0,0,1973-09-10,1973-09-14,0,True,True
1973-09-21,0.48591729998588562,0.49146029327008545,0.48591729998588562,0.48591729998588562,5,0,0,1973-09-17,1973-09-21,0,True,True
1973-09-28,0.48591729998588562,0.50624078512191772,0.48591720490618395,0.50624078512191772,5,0,0,1973-09-24,1973-09-28,0,True,True
1973-10-05,0.50624078512191772,0.53395473957061768,0.50254578939339778,0.53395473957061768,5,0,0,1973-10-01,1973-10-05,0,True,True
1973-10-12,0.53395473957061768,0.54504067419891411,0.53210738109440325,0.53765004873275757,5,0,0,1973-10-08,1973-10-12,0,True,True
1973-10-19,0.53765005494176421,0.53765005494176421,0.52471637019479989,0.52841198444366455,5,0,0,1973-10-15,1973-10-19,0,True,True
1973-10-26,0.52102195574418608,0.52471655607223511,0.50993627309799194,0.52471655607223511,5,0,0,1973-10-22,1973-10-26,0,True,True
1973-11-02,0.52471675035211029,0.53395473957061768,0.52471655607223511,0.52471655607223511,5,0,0,1973-10-29,1973-11-02,0,True,True
1973-11-09,0.52471668133976368,0.52471668133976368,0.49515512585639948,0.49515512585639948,5,0,0,1973-11-05,1973-11-09,0,True,True
1973-11-16,0.4951550316812679,0.49885044048952759,0.48591720490618395,0.49146026372909546,5,0,0,1973-11-12,1973-11-16,0,True,True
1973-11-23,0.49146029327008545,0.49146029327008545,0.47483157578284341,0.47852689027786255,4,0,0,1973-11-19,1973-11-23,0,True,True
1973-11-30,0.4748315705669508,0.4748315705669508,0.44896569848060608,0.44896569848060608,5,0,0,1973-11-26,1973-11-30,0,True,True
1973-12-07,0.44896527679771892,0.45266101566541761,0.43972733161637717,0.44342264533042908,5,0,0,1973-12-03,1973-12-07,0,True,True
1973-12-14,0.44342264533042908,0.44896569848060608,0.43972712755203247,0.44896569848060608,5,0,0,1973-12-10,1973-12-14,0,True,True
