week,open,high,low,close,source_rows,bad_hlc,bad_ohlc,first_date,last_date,null_rows,valid_hlc,valid_ohlc
1962-01-05,10.125,10.28125,9.875,9.875,4,0,0,1962-01-02,1962-01-05,0,False,False
1962-01-12,9.890625,10.03125,9.375,10,5,0,0,1962-01-08,1962-01-12,0,True,True
1962-01-19,10,10.03125,9.765625,9.859375,5,0,0,1962-01-15,1962-01-19,0,True,True
1962-01-26,9.859375,9.96875,9.5,9.53125,5,0,0,1962-01-22,1962-01-26,0,True,True
1962-02-02,9.53125,9.65625,9.53125,9.625,5,0,0,1962-01-29,1962-02-02,0,True,True
1962-02-09,9.625,9.65625,9.53125,9.625,5,0,0,1962-02-05,1962-02-09,0,True,True
1962-02-16,9.625,10.03125,9.578125,9.890625,5,0,0,1962-02-12,1962-02-16,0,True,True
1962-02-23,9.890625,9.96875,9.8125,9.8125,4,0,0,1962-02-19,1962-02-23,0,True,True
1962-03-02,9.8125,9.84375,9.703125,9.8125,5,0,0,1962-02-26,1962-03-02,0,True,True
1962-03-09,9.8125,10.0625,9.734375,10.0625,5,0,0,1962-03-05,1962-03-09,0,True,True
1962-03-16,10.09375,10.140625,10.0625,10.09375,5,0,0,1962-03-12,1962-03-16,0,True,True
1962-03-23,10.09375,10.1875,10.09375,10.1875,5,0,0,1962-03-19,1962-03-23,0,True,True
1962-03-30,10.1875,10.34375,10.125,10.125,5,0,0,1962-03-26,1962-03-30,0,True,True
1962-04-06,10.09375,10.09375,9.9375,10.03125,5,0,0,1962-04-02,1962-04-06,0,True,True
1962-04-13,10.03125,10.0625,9.875,9.9375,5,0,0,1962-04-09,1962-04-13,0,True,True
1962-04-20,9.9375,10.0625,9.890625,9.953125,4,0,0,1962-04-16,1962-04-19,0,True,True
1962-04-27,9.953125,10,9.828125,9.828125,5,0,0,1962-04-23,1962-04-27,0,True,True
1962-05-04,9.828125,10.03125,9.40625,9.625,5,0,0,1962-04-30,1962-05-04,0,True,True
