week,open,high,low,close,source_rows,bad_hlc,bad_ohlc,first_date,last_date,null_rows,valid_hlc,valid_ohlc
1962-01-05,0.23686622083187106,0.24052156374594313,0.23101770877838135,0.23101770877838135,4,0,0,1962-01-02,1962-01-05,0,False,False
1962-01-12,0.23138323146996537,0.2346730404482113,0.21932060959972913,0.23394185304641724,5,0,0,1962-01-08,1962-01-12,0,True,True
1962-01-19,0.23394214772732458,0.23467321693897247,0.22845882951929905,0.23065203428268433,5,0,0,1962-01-15,1962-01-19,0,True,True
1962-01-26,0.23065220711250153,0.23321094792040567,0.22224494511963891,0.22297601401805878,5,0,0,1962-01-22,1962-01-26,0,True,True
1962-02-02,0.22297570551783577,0.22813329352186873,0.22297570551783577,0.22739499807357788,5,0,0,1962-01-29,1962-02-02,0,True,True
1962-02-09,0.22739499807357788,0.22813296318054199,0.22517987649615218,0.22739499807357788,5,0,0,1962-02-05,1962-02-09,0,True,True
1962-02-16,0.22739499807357788,0.23699288070201874,0.22628755490114164,0.23367021977901459,5,0,0,1962-02-12,1962-02-16,0,True,True
1962-02-23,0.23367036672558372,0.23551607131958008,0.23182469606399536,0.23182469606399536,4,0,0,1962-02-19,1962-02-23,0,True,True
1962-03-02,0.23182465350285125,0.23256299127439026,0.22924056355483258,0.23182469606399536,5,0,0,1962-02-26,1962-03-02,0,True,True
1962-03-09,0.23182447176479953,0.23773111402988434,0.22997882776260375,0.23773111402988434,5,0,0,1962-03-05,1962-03-09,0,True,True
1962-03-16,0.23846918256979269,0.23957662459411061,0.23773087390436107,0.23846916854381561,5,0,0,1962-03-12,1962-03-16,0,True,True
1962-03-23,0.23846930053866941,0.24068424220092469,0.23846919565979616,0.2406838983297348,5,0,0,1962-03-19,1962-03-23,0,True,True
1962-03-30,0.24068416043617805,0.24437572292306209,0.23920757049485178,0.23920759558677673,5,0,0,1962-03-26,1962-03-30,0,True,True
1962-04-06,0.23846924793143726,0.23846924793143726,0.23477774485945702,0.23699288070201874,5,0,0,1962-04-02,1962-04-06,0,True,True
1962-04-13,0.23699275790890562,0.23773105310488352,0.23330115897100678,0.23477774858474731,5,0,0,1962-04-09,1962-04-13,0,True,True
1962-04-20,0.23477788154895488,0.23773106244894174,0.23367043871145982,0.23514702916145325,4,0,0,1962-04-16,1962-04-19,0,True,True
1962-04-27,0.23514702916145325,0.23625446970287434,0.23219361901283264,0.23219361901283264,5,0,0,1962-04-23,1962-04-27,0,True,True
1962-05-04,0.23219361901283264,0.23699253323726321,0.22436693887556752,0.22958491742610931,5,0,0,1962-04-30,1962-05-04,0,True,True
1962-05-11,0.22995747721964313,0.23256639511354507,0.22399422526359558,0.22399422526359558,5,0,0,1962-05-07,1962-05-11,0,True,True
1962-05-18,0.22399450799092552,0.2310756183252102,0.21765855684975124,0.22921210527420044,5,0,0,1962-05-14,1962-05-18,0,True,True
