week,open,high,low,close,source_rows,bad_hlc,bad_ohlc,first_date,last_date,null_rows,valid_hlc,valid_ohlc
2001-01-05,284.54547119140625,284.54547119140625,268.18182373046875,268.18182373046875,2,0,0,2001-01-01,2001-01-05,3,False,False
2001-01-12,264.54547119140625,267.27273559570312,254.54545593261719,259.09091186523438,4,0,0,2001-01-08,2001-01-12,1,True,True
2001-01-19,263.6363525390625,268.18182373046875,253.6363525390625,268.18182373046875,5,0,0,2001-01-15,2001-01-19,0,True,True
2001-01-26,259.09091186523438,266.3636474609375,255.45454406738281,256.3636474609375,5,0,0,2001-01-22,2001-01-26,0,True,True
2001-02-02,259.09091186523438,262.72726440429688,256.3636474609375,256.3636474609375,5,0,0,2001-01-29,2001-02-02,0,True,True
2001-02-09,260.90908813476562,263.6363525390625,257.27273559570312,259.09091186523438,5,0,0,2001-02-05,2001-02-09,0,True,True
2001-02-16,266.3636474609375,266.3636474609375,259.09091186523438,262.72726440429688,4,0,0,2001-02-12,2001-02-16,1,True,True
2001-02-23,263.6363525390625,270.90908813476562,262.72726440429688,268.18182373046875,5,0,0,2001-02-19,2001-02-23,0,True,True
2001-03-02,268.18182373046875,277.27273559570312,267.27273559570312,268.18182373046875,5,0,0,2001-02-26,2001-03-02,0,True,True
2001-03-09,272.72726440429688,281.81817626953125,267.27273559570312,272.72726440429688,5,0,0,2001-03-05,2001-03-09,0,True,True
2001-03-16,272.72726440429688,276.3636474609375,265.45455932617188,266.3636474609375,4,0,0,2001-03-12,2001-03-16,1,True,True
2001-03-23,270,281.81817626953125,269.09091186523438,281.81817626953125,4,0,0,2001-03-19,2001-03-23,1,True,True
2001-03-30,281.81817626953125,300,272.72726440429688,277.27273559570312,5,0,0,2001-03-26,2001-03-30,0,True,True
2001-04-06,283.6363525390625,286.3636474609375,272.72726440429688,280.90908813476562,5,0,0,2001-04-02,2001-04-06,0,True,True
2001-04-13,280.90908813476562,290.90908813476562,277.27273559570312,281.81817626953125,5,0,0,2001-04-09,2001-04-13,0,True,True
2001-04-20,286.3636474609375,304.54547119140625,283.6363525390625,286.3636474609375,5,0,0,2001-04-16,2001-04-20,0,True,True
2001-04-27,290.90908813476562,300,283.6363525390625,298.18182373046875,5,0,0,2001-04-23,2001-04-27,0,True,True
2001-05-04,296.3636474609375,300,286.3636474609375,286.3636474609375,2,0,0,2001-04-30,2001-05-04,3,True,True
2001-05-11,291.81817626953125,291.81817626953125,277.27273559570312,283.6363525390625,5,0,0,2001-05-07,2001-05-11,0,True,True
2001-05-18,283.6363525390625,286.3636474609375,279.09091186523438,280.90908813476562,5,0,0,2001-05-14,2001-05-18,0,True,True
2001-05-25,285.45455932617188,285.45455932617188,277.27273559570312,277.27273559570312,5,0,0,2001-05-21,2001-05-25,0,True,True
2001-06-01,278.18182373046875,280.90908813476562,264.54547119140625,278.18182373046875,5,0,0,2001-05-28,2001-06-01,0,True,True
2001-06-08,270.90908813476562,278.18182373046875,270.90908813476562,270.90908813476562,5,0,0,2001-06-04,2001-06-08,0,True,True
2001-06-15,275.45455932617188,277.27273559570312,271.81817626953125,277.27273559570312,5,0,0,2001-06-11,2001-06-15,0,True,True
2001-06-22,277.27273559570312,286.3636474609375,275.45455932617188,283.6363525390625,5,0,0,2001-06-18,2001-06-22,0,True,True
2001-06-29,286.3636474609375,297.27273559570312,282.72726440429688,288.18182373046875,5,0,0,2001-06-25,2001-06-29,0,True,True
2001-07-06,293.6363525390625,295.45455932617188,281.81817626953125,281.81817626953125,5,0,0,2001-07-02,2001-07-06,0,True,True
2001-07-13,280.90908813476562,281.81817626953125,273.6363525390625,277.27273559570312,5,0,0,2001-07-09,2001-07-13,0,True,True
2001-07-20,280,282.72726440429688,276.3636474609375,277.27273559570312,4,0,0,2001-07-16,2001-07-20,1,True,True
2001-07-27,277.27273559570312,281.81817626953125,273.6363525390625,281.81817626953125,5,0,0,2001-07-23,2001-07-27,0,True,True
2001-08-03,281.81817626953125,286.3636474609375,278.18182373046875,286.3636474609375,5,0,0,2001-07-30,2001-08-03,0,True,True
2001-08-10,289.09091186523438,290.90908813476562,283.6363525390625,288.18182373046875,5,0,0,2001-08-06,2001-08-10,0,True,True
2001-08-17,285.45455932617188,290.90908813476562,285.45455932617188,287.27273559570312,5,0,0,2001-08-13,2001-08-17,0,True,True
2001-08-24,289.09091186523438,292.72726440429688,284.54547119140625,288.18182373046875,4,0,0,2001-08-20,2001-08-24,1,True,True
2001-08-31,289.09091186523438,309.09091186523438,288.18182373046875,289.09091186523438,5,0,0,2001-08-27,2001-08-31,0,True,True
2001-09-07,290.90908813476562,294.54547119140625,286.3636474609375,290.90908813476562,5,0,0,2001-09-03,2001-09-07,0,True,True
2001-09-14,281.81817626953125,288.18182373046875,259.09091186523438,278.18182373046875,5,0,0,2001-09-10,2001-09-14,0,True,True
2001-09-21,279.09091186523438,284.54547119140625,272.72726440429688,280.90908813476562,5,0,0,2001-09-17,2001-09-21,0,True,True
2001-09-28,280.90908813476562,286.3636474609375,277.27273559570312,285.45455932617188,3,0,0,2001-09-24,2001-09-28,2,True,True
2001-10-05,273.6363525390625,287.27273559570312,273.6363525390625,285.45455932617188,5,0,0,2001-10-01,2001-10-05,0,True,True
2001-10-12,287.27273559570312,290.90908813476562,282.72726440429688,290.90908813476562,4,0,0,2001-10-08,2001-10-12,1,True,True
2001-10-19,282.72726440429688,290.90908813476562,282.72726440429688,289.09091186523438,5,0,0,2001-10-15,2001-10-19,0,True,True
2001-10-26,289.09091186523438,294.54547119140625,288.18182373046875,292.72726440429688,5,0,0,2001-10-22,2001-10-26,0,True,True
2001-11-02,290.90908813476562,295.45455932617188,289.09091186523438,290,5,0,0,2001-10-29,2001-11-02,0,True,True
2001-11-09,290.90908813476562,298.18182373046875,290.90908813476562,293.6363525390625,4,0,0,2001-11-05,2001-11-09,1,True,True
2001-11-16,293.6363525390625,294.54547119140625,278.18182373046875,281.81817626953125,5,0,0,2001-11-12,2001-11-16,0,True,True
2001-11-23,285.45455932617188,285.45455932617188,271.81817626953125,280,4,0,0,2001-11-19,2001-11-23,1,True,True
2001-11-30,280,285.45455932617188,272.72726440429688,282.72726440429688,5,0,0,2001-11-26,2001-11-30,0,True,True
2001-12-07,280,285.45455932617188,274.54547119140625,277.27273559570312,5,0,0,2001-12-03,2001-12-07,0,True,True
2001-12-14,273.6363525390625,277.27273559570312,253.6363525390625,255.45454406738281,5,0,0,2001-12-10,2001-12-14,0,True,True
2001-12-21,251.81817626953125,257.27273559570312,227.27273559570312,227.27273559570312,5,0,0,2001-12-17,2001-12-21,0,True,True
2001-12-28,231.81817626953125,255.45454406738281,231.81817626953125,244.54545593261719,4,0,0,2001-12-24,2001-12-28,1,True,True
2002-01-04,253.6363525390625,253.6363525390625,240.90908813476562,240.90908813476562,1,0,0,2001-12-31,2002-01-04,4,True,True
2002-01-11,240.90908813476562,252.72726440429688,239.09091186523438,244.54545593261719,5,0,0,2002-01-07,2002-01-11,0,True,True
2002-01-18,243.6363525390625,257.27273559570312,243.6363525390625,256.3636474609375,4,0,0,2002-01-14,2002-01-18,1,True,True
2002-01-25,256.3636474609375,261.81817626953125,250.90908813476562,261.81817626953125,5,0,0,2002-01-21,2002-01-25,0,True,True
2002-02-01,260.90908813476562,263.6363525390625,241.81817626953125,250.90908813476562,4,0,0,2002-01-28,2002-02-01,1,True,True
2002-02-08,248.18182373046875,248.18182373046875,241.81817626953125,244.54545593261719,5,0,0,2002-02-04,2002-02-08,0,True,True
2002-02-15,242.72726440429688,258.18182373046875,242.72726440429688,254.54545593261719,4,0,0,2002-02-11,2002-02-15,1,True,True
2002-02-22,254.54545593261719,272.72726440429688,253.6363525390625,272.72726440429688,5,0,0,2002-02-18,2002-02-22,0,True,True
2002-03-01,267.27273559570312,280.90908813476562,267.27273559570312,280,5,0,0,2002-02-25,2002-03-01,0,True,True
2002-03-08,281.81817626953125,286.3636474609375,275.45455932617188,281.81817626953125,5,0,0,2002-03-04,2002-03-08,0,True,True
2002-03-15,281.81817626953125,283.6363525390625,277.27273559570312,281.81817626953125,5,0,0,2002-03-11,2002-03-15,0,True,True
2002-03-22,286.3636474609375,289.09091186523438,274.54547119140625,280.90908813476562,4,0,0,2002-03-18,2002-03-22,1,True,True
2002-03-29,289.09091186523438,289.09091186523438,264.54547119140625,264.54547119140625,5,0,0,2002-03-25,2002-03-29,0,True,True
2002-04-05,268.18182373046875,271.81817626953125,260,267.27273559570312,5,0,0,2002-04-01,2002-04-05,0,True,True
2002-04-12,265.45455932617188,276.3636474609375,255.45454406738281,261.81817626953125,5,0,0,2002-04-08,2002-04-12,0,True,True
2002-04-19,260,266.3636474609375,254.54545593261719,262.72726440429688,5,0,0,2002-04-15,2002-04-19,0,True,True
2002-04-26,261.81817626953125,264.54547119140625,254.54545593261719,254.54545593261719,5,0,0,2002-04-22,2002-04-26,0,True,True
2002-05-03,254.54545593261719,256.3636474609375,254.54545593261719,254.54545593261719,3,0,0,2002-04-29,2002-05-03,2,True,True
2002-05-10,257.27273559570312,257.27273559570312,252.72726440429688,256.3636474609375,4,0,0,2002-05-06,2002-05-10,1,True,True
2002-05-17,254.54545593261719,258.18182373046875,245.45454406738281,248.18182373046875,5,0,0,2002-05-13,2002-05-17,0,True,True
2002-05-24,249.09091186523438,272.72726440429688,249.09091186523438,268.18182373046875,5,0,0,2002-05-20,2002-05-24,0,True,True
2002-05-31,265.45455932617188,268.18182373046875,260,264.54547119140625,5,0,0,2002-05-27,2002-05-31,0,True,True
2002-06-07,260,260.90908813476562,255.45454406738281,256.3636474609375,5,0,0,2002-06-03,2002-06-07,0,True,True
2002-06-14,254.54545593261719,256.3636474609375,250,250.90908813476562,5,0,0,2002-06-10,2002-06-14,0,True,True
