week,open,high,low,close,source_rows,bad_hlc,bad_ohlc,first_date,last_date,null_rows,valid_hlc,valid_ohlc
1999-06-25,190303.90625,192095,184035.0625,189856.125,1,0,0,1999-06-25,1999-06-25,0,False,False
1999-07-02,192542.78125,201050.484375,188512.8125,196572.734375,5,0,0,1999-06-28,1999-07-02,0,True,True
1999-07-09,198811.609375,198811.609375,188065.03125,193886.09375,5,0,0,1999-07-05,1999-07-09,0,True,True
1999-07-16,193886.09375,194781.640625,184482.84375,185378.390625,5,0,0,1999-07-12,1999-07-16,0,True,True
1999-07-23,187169.484375,187617.265625,177766.234375,184930.625,5,0,0,1999-07-19,1999-07-23,0,True,True
1999-07-30,185378.390625,186721.71875,178214.015625,179109.5625,5,0,0,1999-07-26,1999-07-30,0,True,True
1999-08-06,183139.515625,183139.515625,174184.046875,174631.8125,5,0,0,1999-08-02,1999-08-06,0,True,True
1999-08-13,176870.6875,181348.421875,172840.71875,181348.421875,5,0,0,1999-08-09,1999-08-13,0,True,True
1999-08-20,181796.203125,188512.8125,179557.328125,186273.9375,5,0,0,1999-08-16,1999-08-20,0,True,True
1999-08-27,185826.171875,190303.90625,184482.84375,186721.71875,5,0,0,1999-08-23,1999-08-27,0,True,True
1999-09-03,187169.484375,188065.03125,182691.75,185378.390625,5,0,0,1999-08-30,1999-09-03,0,True,True
1999-09-10,187617.265625,188065.03125,181348.421875,185826.171875,5,0,0,1999-09-06,1999-09-10,0,True,True
1999-09-17,185826.171875,186721.71875,180005.109375,184930.625,5,0,0,1999-09-13,1999-09-17,0,True,True
1999-09-24,184482.84375,185826.171875,179109.5625,179557.328125,5,0,0,1999-09-20,1999-09-24,0,True,True
1999-10-01,180452.875,183139.515625,177318.46875,177318.46875,5,0,0,1999-09-27,1999-10-01,0,True,True
1999-10-08,177318.46875,180452.875,176422.90625,178214.015625,5,0,0,1999-10-04,1999-10-08,0,True,True
1999-10-15,179109.5625,180452.875,169258.53125,171497.40625,5,0,0,1999-10-11,1999-10-15,0,True,True
1999-10-22,172392.953125,172840.71875,163885.25,169706.3125,5,0,0,1999-10-18,1999-10-22,0,True,True
1999-10-29,171497.40625,173288.5,164333.015625,170601.859375,5,0,0,1999-10-25,1999-10-29,0,True,True
1999-11-05,170601.859375,171497.40625,165228.5625,165676.34375,4,0,0,1999-11-01,1999-11-05,1,True,True
1999-11-12,165228.5625,170154.078125,163885.25,167467.4375,5,0,0,1999-11-08,1999-11-12,0,True,True
1999-11-19,167467.4375,171049.625,165228.5625,167467.4375,5,0,0,1999-11-15,1999-11-19,0,True,True
1999-11-26,166124.109375,167467.4375,157616.40625,159855.28125,5,0,0,1999-11-22,1999-11-26,0,True,True
1999-12-03,158959.734375,165228.5625,156720.859375,164333.015625,5,0,0,1999-11-29,1999-12-03,0,True,True
1999-12-10,161646.375,168362.984375,152690.890625,158959.734375,5,0,0,1999-12-06,1999-12-10,0,True,True
1999-12-17,158511.953125,162989.703125,157168.640625,158511.953125,5,0,0,1999-12-13,1999-12-17,0,True,True
1999-12-24,155377.546875,168810.75,153586.4375,166571.890625,4,0,0,1999-12-20,1999-12-24,1,True,True
1999-12-31,173736.265625,181348.421875,170154.078125,173288.5,4,0,0,1999-12-27,1999-12-31,1,True,True
2000-01-07,172840.71875,178214.015625,165676.34375,174184.046875,5,0,0,2000-01-03,2000-01-07,0,True,True
2000-01-14,172392.953125,173736.265625,160750.828125,169258.53125,5,0,0,2000-01-10,2000-01-14,0,True,True
2000-01-21,168362.984375,169258.53125,157168.640625,159855.28125,5,0,0,2000-01-17,2000-01-21,0,True,True
