week,open,high,low,close,source_rows,bad_hlc,bad_ohlc,first_date,last_date,null_rows,valid_hlc,valid_ohlc
1999-06-25,213566245.06366333,215576278.24838415,206531111.38217425,213063728,1,0,0,1999-06-25,1999-06-25,0,False,False
1999-07-02,216078812.43149105,225626438.97750303,211556250.82405323,220601360,5,0,0,1999-06-28,1999-07-02,0,True,True
1999-07-09,223113912.59749067,223113912.59749067,211053694.81527919,217586304,5,0,0,1999-07-05,1999-07-09,0,True,True
1999-07-16,217586265.91047204,218591282.29256645,207033655.2773895,208038672,5,0,0,1999-07-12,1999-07-16,0,True,True
1999-07-23,210048665.5958313,210551182.62928581,199495993.77007407,207536128,5,0,0,1999-07-19,1999-07-23,0,True,True
1999-07-30,208038657.30322334,209546191.04812449,199998503.45209792,201003520,5,0,0,1999-07-26,1999-07-30,0,True,True
1999-08-06,205526082.12165385,205526082.12165385,195475939.794662,195978448,5,0,0,1999-08-02,1999-08-06,0,True,True
1999-08-13,198490944.84243399,203516080,193968394.93704429,203516080,5,0,0,1999-08-09,1999-08-13,0,True,True
1999-08-20,204018597.10908359,211556198.08455491,201506046.63360128,209043648.00000003,5,0,0,1999-08-16,1999-08-20,0,True,True
1999-08-27,208541142.50622886,213566224.99584743,207033638.08257809,209546191.99999997,5,0,0,1999-08-23,1999-08-27,0,True,True
1999-09-03,210048691.56060478,211053708.2167818,205023577.96359581,208038672,5,0,0,1999-08-30,1999-09-03,0,True,True
1999-09-10,210551182.62928581,211053700.78447944,203516073.60348716,208541168,5,0,0,1999-09-06,1999-09-10,0,True,True
1999-09-17,208541155.78259018,209546172.34449631,202008539.3627176,207536128,5,0,0,1999-09-13,1999-09-17,0,True,True
1999-09-24,207033641.97409445,208541175.72862539,201003516.50227585,201506016,5,0,0,1999-09-20,1999-09-24,0,True,True
1999-10-01,202511033.88962007,205526093.27993694,198993472,198993472,5,0,0,1999-09-27,1999-10-01,0,True,True
1999-10-08,198993491.90772441,202511041.14634478,197988437.99240738,199998512,5,0,0,1999-10-04,1999-10-08,0,True,True
1999-10-15,201003516.50227585,202511032.53041345,189948329.73972455,192460879.99999997,5,0,0,1999-10-11,1999-10-15,0,True,True
1999-10-22,193465891.82425734,193968391.3429358,183918220.72649589,190450832.00000003,5,0,0,1999-10-18,1999-10-22,0,True,True
1999-10-29,192460876.42726782,194470869.69831124,184420688.44002873,191455824.00000003,5,0,0,1999-10-25,1999-10-29,0,True,True
1999-11-05,191455848.51898631,192460875.25193447,185425722.99707091,185928240.00000003,4,0,0,1999-11-01,1999-11-05,1,True,True
1999-11-12,185425747.53446069,190953350.31258804,183918231.39611211,187938288,5,0,0,1999-11-08,1999-11-12,0,True,True
1999-11-19,187938291.90899867,191958348.01099697,185425737.8539694,187938288,5,0,0,1999-11-15,1999-11-19,0,True,True
1999-11-26,186430728.41128933,187938261.79570496,176883075.13275295,179395631.99999997,5,0,0,1999-11-22,1999-11-26,0,True,True
1999-12-03,178390636.45104995,185425720.45712742,175878093.3039034,184420704,5,0,0,1999-11-29,1999-12-03,0,True,True
1999-12-10,181405701.12484619,188943335.25276023,171355482.34703535,178390656,5,0,0,1999-12-06,1999-12-10,0,True,True
1999-12-17,177888128,182913227.55704015,176380611.74502355,177888128,5,0,0,1999-12-13,1999-12-17,0,True,True
1999-12-24,174370558.86173382,189445796.51095018,172360511.96250552,186933264,4,0,0,1999-12-20,1999-12-24,1,True,True
1999-12-31,194973393.48964339,203516026.94851896,190953357.37906477,194470912,4,0,0,1999-12-27,1999-12-31,1,True,True
2000-01-07,193968381.04896954,199998478.24174112,185928230.80973995,195475936,5,0,0,2000-01-03,2000-01-07,0,True,True
2000-01-14,193465893.00572819,194973409.10593569,180400686.54674569,189948320,5,0,0,2000-01-10,2000-01-14,0,True,True
2000-01-21,188943278.20699432,189948294.61828366,176380581.45476815,179395631.99999997,5,0,0,2000-01-17,2000-01-21,0,True,True
2000-01-28,178893132.14936814,180400665.83370286,166832947.71598136,168340464,5,0,0,2000-01-24,2000-01-28,0,True,True
2000-02-04,166832915.00369227,175375582.90944922,165827923.78173766,167335440,5,0,0,2000-01-31,2000-02-04,0,True,True
2000-02-11,166832960,178893139.92966256,162812818.59565732,169345472,5,0,0,2000-02-07,2000-02-11,0,True,True
2000-02-18,167837957.0960657,170853012.12135318,160802816,164822912,5,0,0,2000-02-14,2000-02-18,0,True,True
2000-02-25,166832933.07388157,174370559.99999997,163315369.64690545,169847984,5,0,0,2000-02-21,2000-02-25,0,True,True
2000-03-03,166832936.63424441,201003550.43552491,163817893.09472385,189445808,5,0,0,2000-02-28,2000-03-03,0,True,True
2000-03-10,190953364.5355038,195978448,175878112,175878112,5,0,0,2000-03-06,2000-03-10,0,True,True
2000-03-17,173365558.42410618,183918232.87884969,168340457.57589382,171858016,5,0,0,2000-03-13,2000-03-17,0,True,True
2000-03-24,173365542.29260072,180903195.9042944,169847987.51958919,177385616,5,0,0,2000-03-20,2000-03-24,0,True,True
2000-03-31,174370595.59619644,178390645.10830402,169847984,169847984,5,0,0,2000-03-27,2000-03-31,0,True,True
2000-04-07,170350497.40200359,181908203.43356803,165827937.94499257,177385616,5,0,0,2000-04-03,2000-04-07,0,True,True
2000-04-14,174873095.21914113,177385616,170853008,170853008,5,0,0,2000-04-10,2000-04-14,0,True,True
