week,open,high,low,close,source_rows,bad_hlc,bad_ohlc,first_date,last_date,null_rows,valid_hlc,valid_ohlc
1985-10-04,110.62000274658203,112.54000091552734,109.85500335693359,110.07499694824219,4,0,0,1985-10-01,1985-10-04,0,False,False
1985-10-11,110.07499694824219,111.12000274658203,106.75,111.05000305175781,5,0,0,1985-10-07,1985-10-11,0,True,True
1985-10-18,111.05000305175781,115.33999633789062,111.05000305175781,114.31999969482422,5,0,0,1985-10-14,1985-10-18,0,True,True
1985-10-25,114.31999969482422,116.10500335693359,113.42500305175781,113.91000366210938,5,0,0,1985-10-21,1985-10-25,0,True,True
1985-11-01,113.91000366210938,116.77500152587891,113.20500183105469,116.27500152587891,5,0,0,1985-10-28,1985-11-01,0,True,True
1985-11-08,116.27500152587891,119.38999938964844,115.82499694824219,119.26000213623047,5,0,0,1985-11-04,1985-11-08,0,True,True
1985-11-15,119.26000213623047,123.09999847412109,119.18000030517578,122.17500305175781,5,0,0,1985-11-11,1985-11-15,0,True,True
1985-11-22,122.17500305175781,124.33499908447266,121.73000335693359,123.97000122070312,5,0,0,1985-11-18,1985-11-22,0,True,True
1985-11-29,123.97000122070312,126.43499755859375,122.81500244140625,126.05999755859375,4,0,0,1985-11-25,1985-11-29,0,True,True
1985-12-06,126.05999755859375,129.88999938964844,124.72000122070312,126.95500183105469,5,0,0,1985-12-02,1985-12-06,0,True,True
1985-12-13,126.95500183105469,132.16999816894531,126.83000183105469,132.125,5,0,0,1985-12-09,1985-12-13,0,True,True
1985-12-20,132.125,133.18499755859375,130.71499633789062,132.25999450683594,5,0,0,1985-12-16,1985-12-20,0,True,True
1985-12-27,132.25999450683594,132.25999450683594,129.30499267578125,131.48500061035156,4,0,0,1985-12-23,1985-12-27,0,True,True
1986-01-03,131.48500061035156,132.66000366210938,130,130.55000305175781,4,0,0,1985-12-30,1986-01-03,0,True,True
1986-01-10,130.55000305175781,133.88499450683594,128.05499267578125,129.56500244140625,5,0,0,1986-01-06,1986-01-10,0,True,True
1986-01-17,129.56500244140625,133.60000610351562,128.6300048828125,132.77000427246094,5,0,0,1986-01-13,1986-01-17,0,True,True
1986-01-24,132.77000427246094,132.78999328613281,128.46000671386719,130.19999694824219,5,0,0,1986-01-20,1986-01-24,0,True,True
1986-01-31,130.20500183105469,134.1300048828125,129.79499816894531,132.92500305175781,5,0,0,1986-01-27,1986-01-31,0,True,True
1986-02-07,132.92500305175781,137.48500061035156,132.92500305175781,137.41999816894531,5,0,0,1986-02-03,1986-02-07,0,True,True
1986-02-14,137.39999389648438,140.6300048828125,137.30499267578125,140.16000366210938,5,0,0,1986-02-10,1986-02-14,0,True,True
1986-02-21,140.16000366210938,141.23500061035156,138.94000244140625,141.14500427246094,4,0,0,1986-02-18,1986-02-21,0,True,True
1986-02-28,141.16499328613281,141.83000183105469,138.67500305175781,140.42500305175781,5,0,0,1986-02-24,1986-02-28,0,True,True
1986-03-07,140.42500305175781,141.77000427246094,139.56500244140625,140.71000671386719,5,0,0,1986-03-03,1986-03-07,0,True,True
1986-03-14,140.71000671386719,147.44999694824219,140.71000671386719,147,5,0,0,1986-03-10,1986-03-14,0,True,True
