week,open,high,low,close,source_rows,bad,first_date,last_date,valid_hlc,valid_ohlc,segment
2010-06-11,1831.75,1845.5,1770,1820.75,1723,0,2010-06-06T22:00:00Z,2010-06-11T00:29:00Z,False,False,fixed
2010-06-18,1848,1918.25,1844,1907.5,1212,0,2010-06-13T22:00:00Z,2010-06-18T00:31:00Z,False,False,fixed
2010-06-25,1923,1941,1837.25,1848,1665,0,2010-06-20T22:00:00Z,2010-06-25T00:34:00Z,False,False,fixed
2010-07-02,1839,1851.5,1698,1735.25,1638,0,2010-06-27T22:00:00Z,2010-07-02T00:34:00Z,False,False,fixed
2010-07-09,1722,1803.25,1705.75,1792.5,2408,0,2010-07-04T22:00:00Z,2010-07-09T00:34:00Z,False,False,fixed
2010-07-16,1810,1866.25,1801.25,1855,1569,0,2010-07-11T22:00:00Z,2010-07-16T00:34:00Z,False,False,fixed
2010-07-23,1800.5,1869.25,1781.75,1855,1659,0,2010-07-18T22:00:00Z,2010-07-23T00:33:00Z,False,False,fixed
2010-07-30,1874.25,1900.75,1838.5,1852.75,1442,0,2010-07-25T22:00:00Z,2010-07-30T00:34:00Z,False,False,fixed
2010-08-06,1868.75,1912.75,1864.5,1902.25,1479,0,2010-08-01T22:00:00Z,2010-08-06T00:29:00Z,False,False,fixed
2010-08-13,1903,1918,1806.25,1834,1534,0,2010-08-08T22:00:00Z,2010-08-13T00:34:00Z,False,False,fixed
2010-08-20,1817.75,1862.25,1800,1822.5,1623,0,2010-08-15T22:00:00Z,2010-08-20T00:33:00Z,False,False,fixed
2010-08-27,1824.75,1842.75,1756.75,1766,1632,0,2010-08-22T22:00:00Z,2010-08-27T00:34:00Z,False,False,fixed
2010-09-03,1790.75,1841.25,1754.5,1838,1630,0,2010-08-29T22:00:00Z,2010-09-03T00:34:00Z,False,False,fixed
2010-09-10,1867.5,1897.75,1852.25,1889.25,2086,0,2010-09-05T22:00:00Z,2010-09-10T00:33:00Z,False,False,fixed
2010-09-17,1896.5,1957,1896.5,1956,1314,0,2010-09-12T22:00:00Z,2010-09-17T01:02:00Z,False,False,fixed
2010-09-24,1950.5,2000.25,1947.25,1984.5,1666,0,2010-09-19T22:00:00Z,2010-09-24T00:35:00Z,False,False,fixed
2010-10-01,2018.75,2032,1977.25,2001.75,1529,0,2010-09-26T22:00:00Z,2010-10-01T00:35:00Z,False,False,fixed
2010-10-08,1997.75,2025,1961,2015.25,1567,0,2010-10-03T22:00:00Z,2010-10-08T00:32:00Z,False,False,fixed
2010-10-15,2023,2071.5,2004.25,2064.75,1520,0,2010-10-10T22:00:00Z,2010-10-15T00:33:00Z,False,False,fixed
2010-10-22,2095,2104.75,2051.5,2082.25,1673,0,2010-10-17T22:00:00Z,2010-10-22T00:33:00Z,False,False,fixed
2010-10-29,2104,2136.75,2092.5,2124,1682,0,2010-10-24T22:00:00Z,2010-10-29T00:32:00Z,False,False,fixed
2010-11-05,2125,2191,2115,2181.75,1587,0,2010-10-31T22:00:00Z,2010-11-05T00:34:00Z,False,False,fixed
2010-11-12,2180.5,2198,2142.25,2167.25,1652,0,2010-11-07T23:00:00Z,2010-11-12T01:34:00Z,False,False,fixed
2010-11-19,2134,2151,2083.5,2134.5,1755,0,2010-11-14T23:00:00Z,2010-11-19T01:34:00Z,False,False,fixed
2010-11-26,2139,2165.5,2104.75,2145.25,2510,0,2010-11-21T23:00:00Z,2010-11-26T18:14:00Z,False,False,fixed
2010-12-03,2150,2189.5,2109.25,2186.5,1734,0,2010-11-28T23:00:00Z,2010-12-03T01:33:00Z,False,False,fixed
2010-12-10,2188,2217,2177,2202.25,1636,0,2010-12-05T23:00:00Z,2010-12-10T01:31:00Z,False,False,fixed
2010-12-17,2217.75,2234,2196,2221.25,1272,0,2010-12-12T23:00:00Z,2010-12-17T01:31:00Z,False,False,fixed
2010-12-24,2216,2239,2205.5,2231.25,1391,0,2010-12-19T23:00:00Z,2010-12-23T23:02:00Z,False,False,fixed
2010-12-31,2227.25,2237,2207.25,2226.5,1345,0,2010-12-26T23:00:00Z,2010-12-31T01:33:00Z,False,False,fixed
2011-01-07,2220,2279.25,2219.25,2275,1505,0,2011-01-02T23:00:00Z,2011-01-07T01:32:00Z,False,False,fixed
2011-01-14,2272.25,2310.75,2260.75,2308,1631,0,2011-01-09T23:00:00Z,2011-01-14T03:07:00Z,False,False,fixed
2011-01-21,2321.25,2346.5,2267,2281.5,2662,0,2011-01-16T23:00:00Z,2011-01-21T02:57:00Z,False,False,fixed
2011-01-28,2268.75,2334.5,2264.5,2320.25,1741,0,2011-01-23T23:00:00Z,2011-01-28T02:05:00Z,False,False,fixed
2011-02-04,2265.5,2328.25,2248.5,2321.25,1860,0,2011-01-30T23:00:00Z,2011-02-04T02:30:00Z,False,False,fixed
2011-02-11,2337.75,2365.5,2334.5,2358.25,1778,0,2011-02-06T23:00:00Z,2011-02-11T02:44:00Z,False,False,fixed
2011-02-18,2376.25,2403,2370.75,2394.5,1692,0,2011-02-13T23:00:00Z,2011-02-18T02:48:00Z,False,False,fixed
2011-02-25,2393.5,2394,2280.25,2315.75,2555,0,2011-02-20T23:00:00Z,2011-02-25T02:11:00Z,False,False,fixed
2011-03-04,2345.25,2378.75,2301.75,2374.75,1933,0,2011-02-27T23:00:00Z,2011-03-04T02:39:00Z,False,False,fixed
2011-03-11,2360.25,2374.25,2275.25,2288,1596,0,2011-03-06T23:00:00Z,2011-03-11T01:12:00Z,False,False,fixed
2011-03-18,2296.5,2304.75,2185.75,2239.75,2824,0,2011-03-13T22:00:00Z,2011-03-18T00:26:00Z,False,False,fixed
2011-03-25,2223,2335,2219,2317,3835,0,2011-03-20T22:00:00Z,2011-03-25T20:14:00Z,False,False,fixed
2011-04-01,2316.25,2347.75,2289.5,2341.5,2742,0,2011-03-27T22:00:00Z,2011-04-01T01:41:00Z,False,False,fixed
2011-04-08,2337.25,2350,2311.75,2330.75,1532,0,2011-04-03T22:00:00Z,2011-04-08T00:08:00Z,False,False,fixed
2011-04-15,2322.75,2334,2285,2310,3682,0,2011-04-10T22:00:00Z,2011-04-15T20:14:00Z,False,False,fixed
2011-04-22,2308,2382.75,2250.25,2373.5,3699,0,2011-04-17T22:00:00Z,2011-04-21T23:11:00Z,False,False,fixed
2011-04-29,2373,2415.75,2371.75,2401.75,1312,0,2011-04-24T22:00:00Z,2011-04-29T00:01:00Z,False,False,fixed
2011-05-06,2408,2428,2363.5,2373.25,3718,0,2011-05-01T22:00:00Z,2011-05-06T20:14:00Z,False,False,fixed
2011-05-13,2378,2415.25,2369,2404.75,1575,0,2011-05-08T22:00:00Z,2011-05-13T00:08:00Z,False,False,fixed
2011-05-20,2366,2373.25,2318.25,2367.75,1643,0,2011-05-15T22:00:00Z,2011-05-20T00:10:00Z,False,False,fixed
2011-05-27,2341.5,2342.75,2281,2326.5,2848,0,2011-05-22T22:00:00Z,2011-05-27T00:45:00Z,False,False,fixed
2011-06-03,2331.25,2380.75,2313.75,2326.5,3315,0,2011-05-29T22:00:00Z,2011-06-03T00:21:00Z,False,False,fixed
2011-06-10,2288.5,2299.25,2218.5,2222.5,4750,0,2011-06-05T22:00:00Z,2011-06-10T20:14:00Z,False,False,fixed
2011-06-17,2217,2252.75,2176.5,2202.5,1142,0,2011-06-12T22:00:00Z,2011-06-17T00:03:00Z,False,False,fixed
2011-06-24,2189.5,2253.5,2174,2246.25,1630,0,2011-06-19T22:00:00Z,2011-06-24T00:04:00Z,False,False,fixed
2011-07-01,2208.75,2323.5,2191.5,2320.5,1626,0,2011-06-26T22:00:00Z,2011-07-01T00:04:00Z,False,False,fixed
2011-07-08,2355,2417,2351.5,2415,2259,0,2011-07-03T22:00:00Z,2011-07-08T00:05:00Z,False,False,fixed
2011-07-15,2404.25,2404.25,2314.5,2341.5,1578,0,2011-07-10T22:00:00Z,2011-07-15T00:03:00Z,False,False,fixed
2011-07-22,2354.5,2414.5,2318.75,2410,1570,0,2011-07-17T22:00:00Z,2011-07-22T00:00:00Z,False,False,fixed
2011-07-29,2417.75,2435.5,2355.75,2371.5,1689,0,2011-07-24T22:00:00Z,2011-07-29T00:05:00Z,False,False,fixed
2011-08-05,2386,2395,2195,2204,1650,0,2011-07-31T22:00:00Z,2011-08-05T00:05:00Z,False,False,fixed
2011-08-12,2145,2184.5,1972.25,2153.25,1792,0,2011-08-07T22:00:00Z,2011-08-12T00:07:00Z,False,False,fixed
2011-08-19,2183.75,2214,2053,2075,1644,0,2011-08-14T22:00:00Z,2011-08-19T00:03:00Z,False,False,fixed
