week,open,high,low,close,source_rows,bad_hlc,bad_ohlc,first_date,last_date,null_rows,valid_hlc,valid_ohlc
2000-09-22,3721,3874,3602,3776,5,0,0,2000-09-18,2000-09-22,0,False,False
2000-09-29,3776.5,3830,3580.5,3621,5,0,0,2000-09-25,2000-09-29,0,True,True
2000-10-06,3621,3668,3305,3357.5,5,0,0,2000-10-02,2000-10-06,0,True,True
2000-10-13,3359.5,3402,3021.5,3270.5,5,0,0,2000-10-09,2000-10-13,0,True,True
2000-10-20,3274,3555.5,3025,3499.5,5,0,0,2000-10-16,2000-10-20,0,True,True
2000-10-27,3498.5,3563.5,2978.5,3222.5,5,0,0,2000-10-23,2000-10-27,0,True,True
2000-11-03,3220,3387,3062,3353,5,0,0,2000-10-30,2000-11-03,0,True,True
2000-11-10,3353,3400,2892,2893,5,0,0,2000-11-06,2000-11-10,0,True,True
2000-11-17,2858,3116.5,2755,2939.5,5,0,1,2000-11-13,2000-11-17,0,True,False
2000-11-24,2929,2946,2676,2829,4,0,0,2000-11-20,2000-11-24,1,True,True
2000-12-01,2848,2929,2435,2572.5,5,0,0,2000-11-27,2000-12-01,0,True,True
2000-12-08,2572.5,2924,2480,2740.5,5,0,0,2000-12-04,2000-12-08,0,True,True
2000-12-15,2855,2995,2556,2583.280029296875,5,0,0,2000-12-11,2000-12-15,0,True,True
2000-12-22,2619.5,2692,2211,2469,5,0,0,2000-12-18,2000-12-22,0,True,True
2000-12-29,2481.5,2543.5,2358.5,2374.5,4,0,0,2000-12-25,2000-12-29,1,True,True
2001-01-05,2375,2590,2130.5,2293.5,4,0,0,2001-01-01,2001-01-05,1,True,True
2001-01-12,2290,2617,2171,2540,5,0,0,2001-01-08,2001-01-12,0,True,True
2001-01-19,2532,2769,2445,2686.5,4,0,0,2001-01-15,2001-01-19,1,True,True
2001-01-26,2689.5,2797,2548.5,2645.5,5,0,0,2001-01-22,2001-01-26,0,True,True
2001-02-02,2630,2740,2478,2488.5,5,0,0,2001-01-29,2001-02-02,0,True,True
2001-02-09,2494,2547.5,2271,2277,5,0,0,2001-02-05,2001-02-09,0,True,True
2001-02-16,2276.5,2437,2181,2227.5,5,0,0,2001-02-12,2001-02-16,0,True,True
2001-02-23,2230,2275,1941,2056.5,4,0,0,2001-02-19,2001-02-23,1,True,True
2001-03-02,2078,2113,1839.5,1876.5,5,0,0,2001-02-26,2001-03-02,0,True,True
2001-03-09,1883.5,2036.5,1804.5,1811,5,0,0,2001-03-05,2001-03-09,0,True,True
2001-03-16,1817.5,1825,1669.5,1663.949951171875,5,1,1,2001-03-12,2001-03-16,0,False,False
2001-03-23,1680,1784,1602,1734,5,0,0,2001-03-19,2001-03-23,0,True,True
2001-03-30,1738.5,1777,1544.5,1588,5,0,0,2001-03-26,2001-03-30,0,True,True
2001-04-06,1601,1625,1361,1467,5,0,0,2001-04-02,2001-04-06,0,True,True
2001-04-13,1471.5,1731.5,1439,1730,4,0,0,2001-04-09,2001-04-13,1,True,True
2001-04-20,1731,1997,1586,1953.5,5,0,0,2001-04-16,2001-04-20,0,True,True
2001-04-27,1956,1960,1754,1823,5,0,0,2001-04-23,2001-04-27,0,True,True
