week,open,high,low,close,source_rows,bad_hlc,bad_ohlc,first_date,last_date,null_rows,valid_hlc,valid_ohlc
1927-12-30,17.659999847412109,17.659999847412109,17.659999847412109,17.659999847412109,1,1,1,1927-12-30,1927-12-30,0,False,False
1928-01-06,17.760000228881836,17.760000228881836,17.549999237060547,17.659999847412109,4,4,4,1928-01-03,1928-01-06,0,False,False
1928-01-13,17.5,17.579999923706055,17.350000381469727,17.579999923706055,5,5,5,1928-01-09,1928-01-13,0,False,False
1928-01-20,17.290000915527344,17.479999542236328,17.260000228881836,17.479999542236328,5,5,5,1928-01-16,1928-01-20,0,False,False
1928-01-27,17.639999389648438,17.709999084472656,17.520000457763672,17.690000534057617,5,5,5,1928-01-23,1928-01-27,0,False,False
1928-02-03,17.489999771118164,17.629999160766602,17.399999618530273,17.399999618530273,5,5,5,1928-01-30,1928-02-03,0,False,False
1928-02-10,17.450000762939453,17.549999237060547,17.440000534057617,17.540000915527344,5,5,5,1928-02-06,1928-02-10,0,False,False
1928-02-17,17.440000534057617,17.440000534057617,17.040000915527344,17.040000915527344,4,4,4,1928-02-14,1928-02-17,0,False,False
1928-02-24,16.950000762939453,17.180000305175781,16.950000762939453,17.180000305175781,4,4,4,1928-02-20,1928-02-24,0,False,False
1928-03-02,17.110000610351562,17.299999237060547,17.110000610351562,17.299999237060547,5,5,5,1928-02-27,1928-03-02,0,False,False
1928-03-09,17.569999694824219,17.930000305175781,17.569999694824219,17.930000305175781,5,5,5,1928-03-05,1928-03-09,0,False,False
1928-03-16,18,18.260000228881836,17.920000076293945,18.260000228881836,5,5,5,1928-03-12,1928-03-16,0,False,False
1928-03-23,18.360000610351562,18.780000686645508,18.360000610351562,18.780000686645508,5,5,5,1928-03-19,1928-03-23,0,False,False
1928-03-30,19.049999237060547,19.280000686645508,18.889999389648438,19.280000686645508,5,5,5,1928-03-26,1928-03-30,0,False,False
1928-04-06,18.909999847412109,19.229999542236328,18.909999847412109,19.229999542236328,4,4,4,1928-04-02,1928-04-05,0,False,False
1928-04-13,19.270000457763672,19.729999542236328,19.100000381469727,19.729999542236328,5,5,5,1928-04-09,1928-04-13,0,False,False
1928-04-20,19.680000305175781,19.680000305175781,19.340000152587891,19.340000152587891,5,5,5,1928-04-16,1928-04-20,0,False,False
1928-04-27,19.149999618530273,19.680000305175781,19.149999618530273,19.680000305175781,5,5,5,1928-04-23,1928-04-27,0,False,False
1928-05-04,19.75,20.239999771118164,19.75,20.239999771118164,5,5,5,1928-04-30,1928-05-04,0,False,False
1928-05-11,20.409999847412109,20.409999847412109,20.209999084472656,20.360000610351562,5,5,5,1928-05-07,1928-05-11,0,False,False
1928-05-18,20.440000534057617,20.440000534057617,19.920000076293945,19.920000076293945,5,5,5,1928-05-14,1928-05-18,0,False,False
1928-05-25,19.629999160766602,19.899999618530273,19.360000610351562,19.899999618530273,5,5,5,1928-05-21,1928-05-25,0,False,False
1928-06-01,19.569999694824219,20.069999694824219,19.569999694824219,20.069999694824219,4,4,4,1928-05-28,1928-06-01,0,False,False
1928-06-08,19.799999237060547,19.850000381469727,19.370000839233398,19.370000839233398,5,5,5,1928-06-04,1928-06-08,0,False,False
1928-06-15,18.680000305175781,19.049999237060547,18.340000152587891,18.739999771118164,5,5,5,1928-06-11,1928-06-15,0,False,False
1928-06-22,18.399999618530273,18.569999694824219,18.340000152587891,18.540000915527344,5,5,5,1928-06-18,1928-06-22,0,False,False
1928-06-29,18.469999313354492,19.139999389648438,18.469999313354492,19.139999389648438,5,5,5,1928-06-25,1928-06-29,0,False,False
1928-07-06,18.979999542236328,19.479999542236328,18.979999542236328,19.389999389648438,4,4,4,1928-07-02,1928-07-06,0,False,False
1928-07-13,19.459999084472656,19.459999084472656,18.809999465942383,18.959999084472656,5,5,5,1928-07-09,1928-07-13,0,False,False
1928-07-20,18.700000762939453,19.030000686645508,18.700000762939453,19.030000686645508,5,5,5,1928-07-16,1928-07-20,0,False,False
1928-07-27,19.120000839233398,19.420000076293945,19.090000152587891,19.420000076293945,5,5,5,1928-07-23,1928-07-27,0,False,False
1928-08-03,19.469999313354492,19.469999313354492,19.329999923706055,19.360000610351562,5,5,5,1928-07-30,1928-08-03,0,False,False
1928-08-10,19.579999923706055,19.579999923706055,19.25,19.25,5,5,5,1928-08-06,1928-08-10,0,False,False
1928-08-17,19.290000915527344,19.639999389648438,19.129999160766602,19.639999389648438,5,5,5,1928-08-13,1928-08-17,0,False,False
1928-08-24,19.770000457763672,20.340000152587891,19.770000457763672,20.340000152587891,5,5,5,1928-08-20,1928-08-24,0,False,False
1928-08-31,20.379999160766602,20.870000839233398,20.379999160766602,20.870000839233398,5,5,5,1928-08-27,1928-08-31,0,False,False
1928-09-07,20.969999313354492,21.090000152587891,20.940000534057617,21.090000152587891,4,4,4,1928-09-04,1928-09-07,0,False,False
1928-09-14,20.920000076293945,21.159999847412109,20.920000076293945,21.139999389648438,5,5,5,1928-09-10,1928-09-14,0,False,False
1928-09-21,21.329999923706055,21.360000610351562,21.180000305175781,21.360000610351562,5,5,5,1928-09-17,1928-09-21,0,False,False
1928-09-28,21.430000305175781,21.430000305175781,21.129999160766602,21.139999389648438,5,5,5,1928-09-24,1928-09-28,0,False,False
1928-10-05,21.360000610351562,21.360000610351562,21.190000534057617,21.219999313354492,5,5,5,1928-10-01,1928-10-05,0,False,False
1928-10-12,21.110000610351562,21.510000228881836,21.110000610351562,21.510000228881836,4,4,4,1928-10-08,1928-10-11,0,False,False
1928-10-19,21.649999618530273,21.959999084472656,21.649999618530273,21.959999084472656,5,5,5,1928-10-15,1928-10-19,0,False,False
1928-10-26,21.809999465942383,21.989999771118164,21.649999618530273,21.649999618530273,5,5,5,1928-10-22,1928-10-26,0,False,False
1928-11-02,22,22,21.680000305175781,21.950000762939453,5,5,5,1928-10-29,1928-11-02,0,False,False
