week,open,high,low,close,source_rows,bad_hlc,bad_ohlc,first_date,last_date,null_rows,valid_hlc,valid_ohlc
1982-04-30,118.94000244140625,119.33000183105469,116.06999969482422,116.44000244140625,5,0,0,1982-04-26,1982-04-30,0,True,True
1982-05-07,115.95999908447266,119.88999938964844,115.91000366210938,119.47000122070312,5,0,0,1982-05-03,1982-05-07,0,True,True
1982-05-14,119.08000183105469,119.91999816894531,118.01000213623047,118.01000213623047,5,0,0,1982-05-10,1982-05-14,0,True,True
1982-05-21,117.62000274658203,118.01999664306641,114.37000274658203,114.88999938964844,5,0,0,1982-05-17,1982-05-21,0,True,True
1982-05-28,114.45999908447266,115.51000213623047,111.66000366210938,111.87999725341797,5,0,0,1982-05-24,1982-05-28,0,True,True
1982-06-04,111.97000122070312,112.48000335693359,110.01999664306641,110.08999633789062,4,0,0,1982-06-01,1982-06-04,0,True,True
1982-06-11,109.58999633789062,111.48000335693359,108.52999877929688,111.23999786376953,5,0,0,1982-06-07,1982-06-11,0,True,True
1982-06-18,110.5,111.22000122070312,107.06999969482422,107.27999877929688,5,0,0,1982-06-14,1982-06-18,0,True,True
1982-06-25,107.27999877929688,110.91999816894531,107.01000213623047,109.13999938964844,5,0,0,1982-06-21,1982-06-25,0,True,True
1982-07-02,109.30000305175781,111,107.59999847412109,107.65000152587891,5,0,0,1982-06-28,1982-07-02,0,True,True
1982-07-09,107.26999664306641,108.97000122070312,105.56999969482422,108.83000183105469,4,0,0,1982-07-06,1982-07-09,0,True,True
1982-07-16,109.48000335693359,111.48000335693359,108.88999938964844,111.06999969482422,5,0,0,1982-07-12,1982-07-16,0,True,True
1982-07-23,111.75,112.38999938964844,110.34999847412109,111.16999816894531,5,0,0,1982-07-19,1982-07-23,0,True,True
1982-07-30,110.66000366210938,111.16000366210938,106.62000274658203,107.08999633789062,5,0,0,1982-07-26,1982-07-30,0,True,True
1982-08-06,107.70999908447266,109.43000030517578,103.66999816894531,103.70999908447266,5,0,0,1982-08-02,1982-08-06,0,True,True
1982-08-13,103.69000244140625,103.84999847412109,102.19999694824219,103.84999847412109,5,0,0,1982-08-09,1982-08-13,0,True,True
1982-08-20,103.86000061035156,113.01999664306641,103.86000061035156,113.01999664306641,5,0,0,1982-08-16,1982-08-20,0,True,True
1982-08-27,113.01999664306641,120.26000213623047,112.65000152587891,117.11000061035156,5,0,0,1982-08-23,1982-08-27,0,True,True
1982-09-03,117.05000305175781,123.63999938964844,115.79000091552734,122.68000030517578,5,0,0,1982-08-30,1982-09-03,0,True,True
1982-09-10,122.68000030517578,123.22000122070312,120.26999664306641,120.97000122070312,4,0,0,1982-09-07,1982-09-10,0,True,True
1982-09-17,120.94000244140625,124.87999725341797,120.25,122.55000305175781,5,0,0,1982-09-13,1982-09-17,0,True,True
1982-09-24,122.54000091552734,126.43000030517578,121.48000335693359,123.31999969482422,5,0,0,1982-09-20,1982-09-24,0,True,True
1982-10-01,123.31999969482422,124.16000366210938,120.13999938964844,121.97000122070312,5,0,0,1982-09-27,1982-10-01,0,True,True
1982-10-08,121.97000122070312,131.11000061035156,120.55999755859375,131.05000305175781,5,0,0,1982-10-04,1982-10-08,0,True,True
1982-10-15,131.05999755859375,137.97000122070312,131.05999755859375,133.57000732421875,5,0,0,1982-10-11,1982-10-15,0,True,True
1982-10-22,133.58999633789062,140.39999389648438,133.58999633789062,138.83000183105469,5,0,0,1982-10-18,1982-10-22,0,True,True
1982-10-29,138.80999755859375,138.80999755859375,131.5,133.72000122070312,5,0,0,1982-10-25,1982-10-29,0,True,True
1982-11-05,133.72000122070312,143.99000549316406,133.22000122070312,142.16000366210938,5,0,0,1982-11-01,1982-11-05,0,True,True
1982-11-12,142.1199951171875,144.36000061035156,139.52999877929688,139.52999877929688,5,0,0,1982-11-08,1982-11-12,0,True,True
1982-11-19,139.53999328613281,139.53999328613281,134.05000305175781,137.02000427246094,5,0,0,1982-11-15,1982-11-19,0,True,True
1982-11-26,137.02999877929688,137.10000610351562,132.88999938964844,134.8800048828125,4,0,0,1982-11-22,1982-11-26,0,True,True
1982-12-03,134.88999938964844,140.3699951171875,133.69000244140625,138.69000244140625,5,0,0,1982-11-29,1982-12-03,0,True,True
1982-12-10,138.69999694824219,143.67999267578125,138.00999450683594,139.57000732421875,5,0,0,1982-12-06,1982-12-10,0,True,True
1982-12-17,139.57000732421875,142.5,134.78999328613281,137.49000549316406,5,0,0,1982-12-13,1982-12-17,0,True,True
1982-12-24,137.49000549316406,139.94000244140625,136.07000732421875,139.72000122070312,4,0,0,1982-12-20,1982-12-23,0,True,True
1982-12-31,139.72999572753906,142.33999633789062,139.72000122070312,140.63999938964844,5,0,0,1982-12-27,1982-12-31,0,True,True
1983-01-07,140.64999389648438,146.46000671386719,138.08000183105469,145.17999267578125,5,0,0,1983-01-03,1983-01-07,0,True,True
1983-01-14,145.19000244140625,148.36000061035156,144.58000183105469,146.64999389648438,5,0,0,1983-01-10,1983-01-14,0,True,True
1983-01-21,146.64999389648438,147.89999389648438,143.25,143.85000610351562,5,0,0,1983-01-17,1983-01-21,0,True,True
1983-01-28,143.83999633789062,145.47000122070312,139.10000610351562,144.50999450683594,5,0,0,1983-01-24,1983-01-28,0,True,True
1983-02-04,144.50999450683594,146.13999938964844,141.89999389648438,146.13999938964844,5,0,0,1983-01-31,1983-02-04,0,True,True
1983-02-11,146.13999938964844,148.80999755859375,144.08999633789062,147.64999389648438,5,0,0,1983-02-07,1983-02-11,0,True,True
1983-02-18,147.71000671386719,149.41000366210938,143.83999633789062,148,5,0,0,1983-02-14,1983-02-18,0,True,True
1983-02-25,148.00999450683594,150.8800048828125,145.39999389648438,149.74000549316406,4,0,0,1983-02-22,1983-02-25,0,True,True
1983-03-04,149.74000549316406,154.16000366210938,147.80999755859375,153.66999816894531,5,0,0,1983-02-28,1983-03-04,0,True,True
1983-03-11,153.66999816894531,154.00999450683594,150.64999389648438,151.24000549316406,5,0,0,1983-03-07,1983-03-11,0,True,True
1983-03-18,151.27999877929688,151.6199951171875,149.1199951171875,149.89999389648438,5,0,0,1983-03-14,1983-03-18,0,True,True
1983-03-25,149.82000732421875,153.77999877929688,149.32000732421875,152.66999816894531,5,0,0,1983-03-21,1983-03-25,0,True,True
