week,open,high,low,close,source_rows,bad_hlc,bad_ohlc,first_date,last_date,null_rows,valid_hlc,valid_ohlc
2000-01-07,17.569999694824219,19,16.399999618530273,17.799999237060547,4,0,0,2000-01-03,2000-01-07,1,False,False
2000-01-14,17.799999237060547,18.299999237060547,16.549999237060547,16.600000381469727,5,0,0,2000-01-10,2000-01-14,0,True,True
2000-01-21,16.700000762939453,17,15.149999618530273,15.220000267028809,5,0,0,2000-01-17,2000-01-21,0,True,True
2000-01-28,15.199999809265137,15.550000190734863,14.800000190734863,15.350000381469727,5,0,0,2000-01-24,2000-01-28,0,True,True
2000-02-04,15.300000190734863,15.5,14.600000381469727,14.829999923706055,5,0,0,2000-01-31,2000-02-04,0,True,True
2000-02-11,14.829999923706055,15.600000381469727,13.800000190734863,14.319999694824219,5,0,0,2000-02-07,2000-02-11,0,True,True
2000-02-18,14.5,14.550000190734863,13.300000190734863,13.300000190734863,5,0,0,2000-02-14,2000-02-18,0,True,True
2000-02-25,13.199999809265137,13.199999809265137,10.510000228881836,11.100000381469727,5,0,0,2000-02-21,2000-02-25,0,True,True
2000-03-03,11.430000305175781,11.430000305175781,9.630000114440918,10.060000419616699,5,0,0,2000-02-28,2000-03-03,0,True,True
2000-03-10,10.399999618530273,10.550000190734863,9.2399997711181641,9.6000003814697266,5,0,0,2000-03-06,2000-03-10,0,True,True
2000-03-17,9.75,12.75,9.75,11.600000381469727,5,0,0,2000-03-13,2000-03-17,0,True,True
2000-03-24,11.600000381469727,11.899999618530273,10.149999618530273,10.800000190734863,5,0,0,2000-03-20,2000-03-24,0,True,True
2000-03-31,10.800000190734863,11.25,10.220000267028809,11.199999809265137,5,0,0,2000-03-27,2000-03-31,0,True,True
2000-04-07,11.300000190734863,11.989999771118164,10.869999885559082,10.899999618530273,5,0,0,2000-04-03,2000-04-07,0,True,True
2000-04-14,11,11,10.350000381469727,10.550000190734863,5,0,0,2000-04-10,2000-04-14,0,True,True
2000-04-21,10.050000190734863,10.75,9.8999996185302734,10.350000381469727,4,0,0,2000-04-17,2000-04-21,1,True,True
2000-04-28,10.479999542236328,11.399999618530273,10.340000152587891,11.350000381469727,4,0,0,2000-04-24,2000-04-28,1,True,True
2000-05-05,11.460000038146973,12.279999732971191,11.100000381469727,12,4,0,0,2000-05-01,2000-05-05,1,True,True
2000-05-12,12.109999656677246,12.729999542236328,11.930000305175781,12.5,4,0,0,2000-05-08,2000-05-12,1,True,True
2000-05-19,12.600000381469727,12.649999618530273,11.899999618530273,12.149999618530273,5,0,0,2000-05-15,2000-05-19,0,True,True
2000-05-26,12.199999809265137,12.390000343322754,10.25,10.310000419616699,5,0,0,2000-05-22,2000-05-26,0,True,True
2000-06-02,10.319999694824219,10.600000381469727,9.9499998092651367,9.9700002670288086,4,0,0,2000-05-29,2000-06-02,1,True,True
2000-06-09,10.050000190734863,10.050000190734863,9.6700000762939453,9.75,5,0,0,2000-06-05,2000-06-09,0,True,True
2000-06-16,9.9899997711181641,9.9899997711181641,8.9700002670288086,8.9700002670288086,5,0,0,2000-06-12,2000-06-16,0,True,True
2000-06-23,8.9899997711181641,9,8.75,8.8000001907348633,3,0,0,2000-06-19,2000-06-23,2,True,True
2000-06-30,8.8500003814697266,9.8000001907348633,8.6999998092651367,9.5500001907348633,5,0,0,2000-06-26,2000-06-30,0,True,True
2000-07-07,9.6999998092651367,10.399999618530273,9.5,10.149999618530273,4,0,0,2000-07-03,2000-07-07,1,True,True
2000-07-14,10.329999923706055,11.470000267028809,10.199999809265137,11.300000190734863,5,0,0,2000-07-10,2000-07-14,0,True,True
2000-07-21,11.300000190734863,11.329999923706055,10.949999809265137,11.300000190734863,5,0,0,2000-07-17,2000-07-21,0,True,True
2000-07-28,11.390000343322754,11.699999809265137,10.920000076293945,11,3,0,0,2000-07-24,2000-07-28,2,True,True
2000-08-04,11,11,9.3999996185302734,9.6499996185302734,5,0,0,2000-07-31,2000-08-04,0,True,True
2000-08-11,9.75,10.399999618530273,9.6000003814697266,10.149999618530273,4,0,0,2000-08-07,2000-08-11,1,True,True
2000-08-18,10.199999809265137,10.350000381469727,9.9300003051757812,10,5,0,0,2000-08-14,2000-08-18,0,True,True
2000-08-25,10.100000381469727,10.439999580383301,9.9700002670288086,10.100000381469727,5,0,0,2000-08-21,2000-08-25,0,True,True
2000-09-01,10.100000381469727,10.649999618530273,9.9899997711181641,10.600000381469727,5,0,0,2000-08-28,2000-09-01,0,True,True
2000-09-08,10.689999580383301,11.279999732971191,10.590000152587891,11.100000381469727,5,0,0,2000-09-04,2000-09-08,0,True,True
2000-09-15,11.079999923706055,11.100000381469727,10.199999809265137,10.470000267028809,5,0,0,2000-09-11,2000-09-15,0,True,True
2000-09-22,10.460000038146973,10.550000190734863,9.3999996185302734,9.5,5,0,0,2000-09-18,2000-09-22,0,True,True
2000-09-29,9.6999998092651367,9.8999996185302734,9.2700004577636719,9.4899997711181641,5,0,0,2000-09-25,2000-09-29,0,True,True
2000-10-06,9.4899997711181641,10.119999885559082,9.4499998092651367,10,5,0,0,2000-10-02,2000-10-06,0,True,True
2000-10-13,10.100000381469727,10.100000381469727,8.75,8.8999996185302734,5,0,0,2000-10-09,2000-10-13,0,True,True
2000-10-20,9,9.9099998474121094,8.9700002670288086,9.7899999618530273,5,0,0,2000-10-16,2000-10-20,0,True,True
2000-10-27,9.7299995422363281,11.579999923706055,9.7299995422363281,11.149999618530273,5,0,0,2000-10-23,2000-10-27,0,True,True
2000-11-03,11.149999618530273,12.390000343322754,11.149999618530273,12.039999961853027,4,0,0,2000-10-30,2000-11-03,1,True,True
2000-11-10,12.050000190734863,12.340000152587891,11.800000190734863,11.819999694824219,5,0,0,2000-11-06,2000-11-10,0,True,True
2000-11-17,11.600000381469727,11.699999809265137,10.710000038146973,11.109999656677246,5,0,0,2000-11-13,2000-11-17,0,True,True
2000-11-24,11,11.810000419616699,10.800000190734863,11.699999809265137,5,0,0,2000-11-20,2000-11-24,0,True,True
2000-12-01,11.600000381469727,11.949999809265137,11.199999809265137,11.489999771118164,5,0,0,2000-11-27,2000-12-01,0,True,True
2000-12-08,11.5,12.619999885559082,11.449999809265137,12.430000305175781,4,0,0,2000-12-04,2000-12-08,1,True,True
2000-12-15,12.5,13.25,12.050000190734863,12.100000381469727,5,0,0,2000-12-11,2000-12-15,0,True,True
2000-12-22,12.100000381469727,12.710000038146973,11.460000038146973,12.550000190734863,5,0,0,2000-12-18,2000-12-22,0,True,True
2000-12-29,12.5,12.899999618530273,12.199999809265137,12.600000381469727,3,0,0,2000-12-25,2000-12-29,2,True,True
2001-01-05,12.600000381469727,13,11.699999809265137,12.430000305175781,4,0,0,2001-01-01,2001-01-05,1,True,True
2001-01-12,12.399999618530273,12.399999618530273,10.800000190734863,10.970000267028809,5,0,0,2001-01-08,2001-01-12,0,True,True
2001-01-19,11,11,10.119999885559082,10.479999542236328,5,0,0,2001-01-15,2001-01-19,0,True,True
2001-01-26,10.460000038146973,11.399999618530273,10.399999618530273,11.380000114440918,3,0,0,2001-01-22,2001-01-26,2,True,True
2001-02-02,11.300000190734863,12.050000190734863,10.75,11.699999809265137,5,0,0,2001-01-29,2001-02-02,0,True,True
