week,open,high,low,close,source_rows,bad_hlc,bad_ohlc,first_date,last_date,null_rows,valid_hlc,valid_ohlc
2000-01-07,6.3442222229726521,6.8605705367194281,5.9217541774912466,6.4272723197937012,4,0,0,2000-01-03,2000-01-07,1,False,False
2000-01-14,6.4272693028317107,6.6078105831214815,5.9759177552335272,5.9939723014831543,5,0,0,2000-01-10,2000-01-14,0,True,True
2000-01-21,6.0300808569127096,6.1384035219843254,5.4704024033550178,5.4956784248352051,5,0,0,2000-01-17,2000-01-21,0,True,True
2000-01-28,5.4884560568573724,5.6148329575691749,5.3440217966560812,5.5426182746887207,5,0,0,2000-01-24,2000-01-28,0,True,True
2000-02-04,5.5245637893676758,5.5967802397188144,5.2718048175241901,5.354853630065918,5,0,0,2000-01-31,2000-02-04,0,True,True
2000-02-11,5.3548541979294573,5.6328901376239831,4.9829401969909668,5.1707029342651367,5,0,0,2000-02-07,2000-02-11,0,True,True
2000-02-18,5.2356978609363232,5.2537525123965745,4.8023991584777832,4.8023991584777832,5,0,0,2000-02-14,2000-02-18,0,True,True
2000-02-25,4.7662894518853456,4.7662894518853456,3.7949782489275385,4.0080170631408691,5,0,0,2000-02-21,2000-02-25,0,True,True
2000-03-03,4.1271743849442322,4.1271743849442322,3.477224676372241,3.6324908733367915,5,0,0,2000-02-28,2000-03-03,0,True,True
2000-03-10,3.7552598007756046,3.8094224103481653,3.3364038310289574,3.4663937091827393,5,0,0,2000-03-06,2000-03-10,0,True,True
2000-03-17,3.5205545370440139,4.6038029344722178,3.5205545370440139,4.1885581016540527,5,0,0,2000-03-13,2000-03-17,0,True,True
2000-03-24,4.1885590231777314,4.2968835464547883,3.7971787816574265,4.0403485298156738,5,0,0,2000-03-20,2000-03-24,0,True,True
2000-03-31,4.0403485741906096,4.2086963571202993,3.8233666949541214,4.1899905204772949,5,0,0,2000-03-27,2000-03-31,0,True,True
2000-04-07,4.2274010815466472,4.4855348231024124,4.0665356992391901,4.0777587890625,5,0,0,2000-04-03,2000-04-07,0,True,True
2000-04-14,4.1151689801897327,4.1151697714065145,3.8720007912609198,3.9468216896057129,5,0,0,2000-04-10,2000-04-14,0,True,True
2000-04-21,3.7597689628601074,4.0216423420600211,3.7036527951901808,3.871999979019165,4,0,0,2000-04-17,2000-04-21,1,True,True
2000-04-28,3.9206343185910293,4.2648126119564855,3.8682596587043236,4.2461075782775879,4,0,0,2000-04-24,2000-04-28,1,True,True
2000-05-05,4.2872580899454595,4.5940260921321396,4.1525799542273489,4.4892764091491699,4,0,0,2000-05-01,2000-05-05,1,True,True
2000-05-12,4.5304279811271417,4.7623734207429518,4.4630890775973358,4.6763291358947754,4,0,0,2000-05-08,2000-05-12,1,True,True
2000-05-19,4.7137403723168818,4.7324454052678293,4.4518654483896709,4.5453920364379883,5,0,0,2000-05-15,2000-05-19,0,True,True
2000-05-26,4.5640974254027764,4.6351769347188476,3.8345897008453349,3.8570365905761719,5,0,0,2000-05-22,2000-05-26,0,True,True
2000-06-02,3.8607764183606106,3.9655262574279666,3.7223572668146394,3.729839563369751,4,0,0,2000-05-29,2000-06-02,1,True,True
2000-06-09,3.7597683610469121,3.75976868528589,3.6176079251907707,3.6475372314453125,5,0,0,2000-06-05,2000-06-09,0,True,True
2000-06-16,3.7373211965403148,3.7373211965403148,3.3557338714599609,3.3557338714599609,5,0,0,2000-06-12,2000-06-16,0,True,True
2000-06-23,3.3632154979395463,3.3669564210944518,3.2734298538418281,3.2921352386474609,3,0,0,2000-06-19,2000-06-23,2,True,True
2000-06-30,3.3108413821781668,3.6662416139866978,3.2547252149014727,3.5727150440216064,5,0,0,2000-06-26,2000-06-30,0,True,True
2000-07-07,3.6288309565266652,3.8907053188653418,3.5540097695749369,3.7971787452697754,4,0,0,2000-07-03,2000-07-07,1,True,True
2000-07-14,3.8645176824793546,4.2909998400420228,3.8158841022371131,4.2274017333984375,5,0,0,2000-07-10,2000-07-14,0,True,True
2000-07-21,4.2274014532721118,4.2386254401007806,4.0964640996175463,4.2274017333984375,5,0,0,2000-07-17,2000-07-21,0,True,True
2000-07-28,4.2610714782528829,4.3770439222215947,4.0852410480511026,4.1151695251464844,3,0,0,2000-07-24,2000-07-28,2,True,True
2000-08-04,4.1151694998703636,4.1151694998703636,3.5165989523609817,3.6101260185241699,5,0,0,2000-07-31,2000-08-04,0,True,True
2000-08-11,3.6475367950295876,3.8907053188653418,3.591420987047067,3.7971787452697754,4,0,0,2000-08-07,2000-08-11,1,True,True
2000-08-18,3.8158838252971923,3.8720002895666803,3.7148759365081787,3.7410624027252197,5,0,0,2000-08-14,2000-08-18,0,True,True
2000-08-25,3.7784737452505808,3.9056695493151965,3.7298392851552649,3.7784731388092045,5,0,0,2000-08-21,2000-08-25,0,True,True
2000-09-01,3.7784746055594121,3.9842325669500926,3.7373217952527029,3.9655275344848633,5,0,0,2000-08-28,2000-09-01,0,True,True
2000-09-08,3.9991966243546075,4.2199204076306023,3.9617862043569616,4.1525802612304688,5,0,0,2000-09-04,2000-09-08,0,True,True
2000-09-15,4.1450978269702192,4.1525801243154765,3.8158842360659233,3.9168927669525146,5,0,0,2000-09-11,2000-09-15,0,True,True
2000-09-22,3.9131516081605309,3.9468212296279881,3.5165993769189874,3.5540101528167725,5,0,0,2000-09-18,2000-09-22,0,True,True
2000-09-29,3.6288314067768788,3.7036526711918145,3.4679660797119141,3.5502691268920903,5,0,0,2000-09-25,2000-09-29,0,True,True
2000-10-06,3.5502688609212347,3.7859562937073652,3.5353046225197717,3.7410624027252197,5,0,0,2000-10-02,2000-10-06,0,True,True
2000-10-13,3.7784736872056839,3.7784736872056839,3.2734313436435891,3.3295471668243408,5,0,0,2000-10-09,2000-10-13,0,True,True
2000-10-20,3.3669569296450761,3.7073941429371562,3.3557338397767587,3.6625006198883057,5,0,0,2000-10-16,2000-10-20,0,True,True
