week,open,high,low,close,source_rows,bad_hlc,bad_ohlc,first_date,last_date,null_rows,valid_hlc,valid_ohlc
2000-01-07,460,474,446,462,4,0,0,2000-01-04,2000-01-07,0,False,False
2000-01-14,472,544,460,530,4,0,0,2000-01-10,2000-01-14,1,True,True
2000-01-21,546,610,542,578,5,0,0,2000-01-17,2000-01-21,0,True,True
2000-01-28,588,594,550,576,5,0,0,2000-01-24,2000-01-28,0,True,True
2000-02-04,566,570,510,532,5,0,0,2000-01-31,2000-02-04,0,True,True
2000-02-11,602,614,548,570,4,0,0,2000-02-07,2000-02-11,1,True,True
2000-02-18,570,598,546,554,5,0,0,2000-02-14,2000-02-18,0,True,True
2000-02-25,544,550,506,528,5,0,0,2000-02-21,2000-02-25,0,True,True
2000-03-03,532,658,510,658,5,0,0,2000-02-28,2000-03-03,0,True,True
2000-03-10,668,678,600,650,5,0,0,2000-03-06,2000-03-10,0,True,True
2000-03-17,650,666,596,620,5,0,0,2000-03-13,2000-03-17,0,True,True
2000-03-24,620,620,582,616,4,0,0,2000-03-20,2000-03-24,1,True,True
2000-03-31,620,640,596,614,5,0,0,2000-03-27,2000-03-31,0,True,True
2000-04-07,614,708,614,682,5,0,0,2000-04-03,2000-04-07,0,True,True
2000-04-14,682,774,682,774,5,0,0,2000-04-10,2000-04-14,0,True,True
2000-04-21,714,736,640,666,5,0,0,2000-04-17,2000-04-21,0,True,True
2000-04-28,674,710,650,662,5,0,0,2000-04-24,2000-04-28,0,True,True
2000-05-05,652,682,640,682,2,0,0,2000-05-01,2000-05-05,3,True,True
2000-05-12,682,750,664,736,4,0,0,2000-05-08,2000-05-12,1,True,True
2000-05-19,744,972,740,930,5,0,0,2000-05-15,2000-05-19,0,True,True
2000-05-26,910,916,820,896,5,0,0,2000-05-22,2000-05-26,0,True,True
2000-06-02,896,920,876,910,4,0,0,2000-05-29,2000-06-02,1,True,True
2000-06-09,926,1062,900,1010,5,0,0,2000-06-05,2000-06-09,0,True,True
2000-06-16,1000,1036,930,940,5,0,0,2000-06-12,2000-06-16,0,True,True
2000-06-23,930,982,902,940,5,0,0,2000-06-19,2000-06-23,0,True,True
2000-06-30,920,1016,906,1000,5,0,0,2000-06-26,2000-06-30,0,True,True
2000-07-07,998,1014,930,930,5,0,0,2000-07-03,2000-07-07,0,True,True
2000-07-14,924,1014,920,968,5,0,0,2000-07-10,2000-07-14,0,True,True
2000-07-21,948,970,892,904,4,0,0,2000-07-17,2000-07-21,1,True,True
2000-07-28,884,896,830,892,5,0,0,2000-07-24,2000-07-28,0,True,True
2000-08-04,860,940,822,900,5,0,0,2000-07-31,2000-08-04,0,True,True
2000-08-11,882,980,880,962,5,0,0,2000-08-07,2000-08-11,0,True,True
2000-08-18,980,1042,962,1022,5,0,0,2000-08-14,2000-08-18,0,True,True
2000-08-25,1032,1110,1024,1100,5,0,0,2000-08-21,2000-08-25,0,True,True
2000-09-01,1108,1224,1096,1210,5,0,0,2000-08-28,2000-09-01,0,True,True
2000-09-08,1224,1282,1196,1250,5,0,0,2000-09-04,2000-09-08,0,True,True
2000-09-15,1230,1240,1142,1156,4,0,0,2000-09-11,2000-09-15,1,True,True
2000-09-22,1134,1164,1082,1116,5,0,0,2000-09-18,2000-09-22,0,True,True
2000-09-29,1136,1236,1090,1194,5,0,0,2000-09-25,2000-09-29,0,True,True
2000-10-06,1190,1252,1170,1228,5,0,0,2000-10-02,2000-10-06,0,True,True
2000-10-13,1190,1232,1152,1220,4,0,0,2000-10-09,2000-10-13,1,True,True
2000-10-20,1240,1262,1180,1202,4,0,0,2000-10-16,2000-10-20,1,True,True
2000-10-27,1200,1250,1120,1130,4,0,0,2000-10-23,2000-10-27,1,True,True
2000-11-03,1134,1166,1114,1138,4,0,0,2000-10-30,2000-11-03,1,True,True
2000-11-10,1098,1158,1090,1110,5,0,0,2000-11-06,2000-11-10,0,True,True
2000-11-17,1074,1094,986,1050,5,0,0,2000-11-13,2000-11-17,0,True,True
2000-11-24,1010,1054,996,1038,4,0,0,2000-11-20,2000-11-24,1,True,True
2000-12-01,1038,1156,1000,1112,5,0,0,2000-11-27,2000-12-01,0,True,True
2000-12-08,1130,1154,1040,1058,5,0,0,2000-12-04,2000-12-08,0,True,True
2000-12-15,1078,1178,1072,1150,5,0,0,2000-12-11,2000-12-15,0,True,True
2000-12-22,1120,1130,1030,1122,5,0,0,2000-12-18,2000-12-22,0,True,True
2000-12-29,1156,1220,1134,1196,5,0,0,2000-12-25,2000-12-29,0,True,True
2001-01-05,1206,1216,1130,1136,2,0,0,2001-01-01,2001-01-05,3,True,True
2001-01-12,1096,1130,1032,1054,4,0,0,2001-01-08,2001-01-12,1,True,True
2001-01-19,1060,1088,1026,1054,5,0,0,2001-01-15,2001-01-19,0,True,True
2001-01-26,1052,1060,990,1008,5,0,0,2001-01-22,2001-01-26,0,True,True
2001-02-02,1000,1024,956,1020,5,0,0,2001-01-29,2001-02-02,0,True,True
2001-02-09,970,988,918,938,5,0,0,2001-02-05,2001-02-09,0,True,True
2001-02-16,948,954,890,890,4,0,0,2001-02-12,2001-02-16,1,True,True
2001-02-23,888,922,854,886,5,0,0,2001-02-19,2001-02-23,0,True,True
2001-03-02,890,980,870,898,5,0,0,2001-02-26,2001-03-02,0,True,True
2001-03-09,900,926,876,914,5,0,0,2001-03-05,2001-03-09,0,True,True
2001-03-16,934,940,832,900,4,0,0,2001-03-12,2001-03-16,1,True,True
2001-03-23,910,974,904,960,4,0,0,2001-03-19,2001-03-23,1,True,True
2001-03-30,942,992,940,958,5,0,0,2001-03-26,2001-03-30,0,True,True
2001-04-06,948,1024,910,962,5,0,0,2001-04-02,2001-04-06,0,True,True
2001-04-13,962,1000,930,996,5,0,0,2001-04-09,2001-04-13,0,True,True
2001-04-20,1006,1010,958,968,5,0,0,2001-04-16,2001-04-20,0,True,True
2001-04-27,978,1020,964,1004,5,0,0,2001-04-23,2001-04-27,0,True,True
2001-05-04,1024,1070,1020,1052,2,0,0,2001-04-30,2001-05-04,3,True,True
2001-05-11,1062,1066,982,1026,5,0,0,2001-05-07,2001-05-11,0,True,True
2001-05-18,1028,1118,1010,1102,5,0,0,2001-05-14,2001-05-18,0,True,True
2001-05-25,1182,1256,1130,1150,5,0,0,2001-05-21,2001-05-25,0,True,True
2001-06-01,1150,1258,1130,1150,5,0,0,2001-05-28,2001-06-01,0,True,True
2001-06-08,1160,1188,1116,1166,5,0,0,2001-06-04,2001-06-08,0,True,True
2001-06-15,1186,1204,1124,1136,5,0,0,2001-06-11,2001-06-15,0,True,True
2001-06-22,1140,1192,1116,1184,5,0,0,2001-06-18,2001-06-22,0,True,True
2001-06-29,1186,1198,1136,1166,5,0,0,2001-06-25,2001-06-29,0,True,True
2001-07-06,1186,1186,1062,1080,5,0,0,2001-07-02,2001-07-06,0,True,True
2001-07-13,1030,1068,1004,1020,5,0,0,2001-07-09,2001-07-13,0,True,True
