week,open,high,low,close,source_rows,bad_hlc,bad_ohlc,first_date,last_date,null_rows,valid_hlc,valid_ohlc
2000-01-07,260.0814016241776,267.99692089526684,252.16585784262799,261.21218872070312,4,0,0,2000-01-04,2000-01-07,0,False,False
2000-01-14,266.86610964511306,307.57459435096149,260.08137804396608,299.65890502929688,4,0,0,2000-01-10,2000-01-14,1,True,True
2000-01-21,308.70531584087166,344.89059291473808,306.44373843544406,326.7979736328125,5,0,0,2000-01-17,2000-01-21,0,True,True
2000-01-28,332.45183233312656,335.84419796917888,310.96689171261261,325.66714477539062,5,0,0,2000-01-24,2000-01-28,0,True,True
2000-02-04,320.01312489753224,322.27470175193179,288.35104893593893,300.78982543945312,5,0,0,2000-01-31,2000-02-04,0,True,True
2000-02-11,340.36738173060593,347.15211359234559,309.83610454358552,322.2747802734375,4,0,0,2000-02-07,2000-02-11,1,True,True
2000-02-18,322.2747802734375,338.10582211143088,308.70535612611803,313.2283935546875,5,0,0,2000-02-14,2000-02-18,0,True,True
2000-02-25,307.57454237827034,310.96690865450125,286.08955256144208,298.52822875976562,5,0,0,2000-02-21,2000-02-25,0,True,True
2000-03-03,300.78976832289641,372.02951049804688,288.35109369300221,372.02951049804688,5,0,0,2000-02-28,2000-03-03,0,True,True
2000-03-10,377.68342506081046,383.33736854974478,339.23665560208832,367.50631713867193,5,0,0,2000-03-06,2000-03-10,0,True,True
2000-03-17,367.50631713867193,376.55262648362384,336.97494435864826,350.5445556640625,5,0,0,2000-03-13,2000-03-17,0,True,True
2000-03-24,350.54452107747397,350.54452107747397,329.05947751415022,348.28292846679688,4,0,0,2000-03-20,2000-03-24,1,True,True
2000-03-31,350.54457920049532,367.86313196656056,342.57275768367009,352.91891479492188,5,0,0,2000-03-27,2000-03-31,0,True,True
2000-04-07,352.91877779447117,406.94871741498827,352.91877779447117,392.00421142578119,5,0,0,2000-04-03,2000-04-07,0,True,True
2000-04-14,392.0041432642675,444.88470458984375,392.0041432642675,444.88470458984375,5,0,0,2000-04-10,2000-04-14,0,True,True
2000-04-21,410.39746693668201,423.04266804893689,367.86323432807808,382.80767822265619,5,0,0,2000-04-17,2000-04-21,0,True,True
2000-04-28,387.40591582359622,408.09821833488849,373.61089931153816,380.50833129882807,5,0,0,2000-04-24,2000-04-28,0,True,True
2000-05-05,374.76065655048075,392.00421142578119,367.86322115384615,392.00421142578119,2,0,0,2000-05-01,2000-05-05,3,True,True
2000-05-12,392.00442677452452,431.08966763459108,381.65826888311477,423.04263305664062,4,0,0,2000-05-08,2000-05-12,1,True,True
2000-05-19,427.6410584145404,558.69235839843748,425.34191293919338,534.55133056640625,5,0,0,2000-05-15,2000-05-19,0,True,True
2000-05-26,523.05560302734375,526.50432128906243,471.32470427669426,515.0084228515625,5,0,0,2000-05-22,2000-05-26,0,True,True
2000-06-02,515.00855696468602,528.80328167925825,503.51250576062148,523.055419921875,4,0,0,2000-05-29,2000-06-02,1,True,True
2000-06-09,532.25220984743351,610.42297058691213,517.30776335063729,580.5341796875,5,0,0,2000-06-05,2000-06-09,0,True,True
2000-06-16,574.78631652227716,595.47862329101565,534.55133056640625,540.2991943359375,5,0,0,2000-06-12,2000-06-16,0,True,True
2000-06-23,534.55133056640625,564.44022216796873,518.45731201171873,540.2991943359375,5,0,0,2000-06-19,2000-06-23,0,True,True
2000-06-30,528.80330844970172,583.98276133746265,520.75630158198885,574.78631591796875,5,0,0,2000-06-26,2000-06-30,0,True,True
2000-07-07,573.63677978515625,582.83336142499843,534.55133056640625,534.55133056640625,5,0,0,2000-07-03,2000-07-07,0,True,True
2000-07-14,531.10268236243201,582.83344938317123,528.80353655133922,556.39312744140625,5,0,0,2000-07-10,2000-07-14,0,True,True
2000-07-21,544.89742444490128,557.54258060868165,512.70925552233132,519.606689453125,4,0,0,2000-07-17,2000-07-21,1,True,True
2000-07-28,508.1110814114644,515.00855696468602,477.07270484725916,512.70941162109375,5,0,0,2000-07-24,2000-07-28,0,True,True
2000-08-04,494.31615326580129,540.29914367541039,472.47427672614964,517.3077392578125,5,0,0,2000-07-31,2000-08-04,0,True,True
2000-08-11,506.96158447265623,563.2906494140625,505.81201171874994,552.94451904296875,5,0,0,2000-08-07,2000-08-11,0,True,True
2000-08-18,563.29052857678346,598.92721954641991,552.94437601108746,587.431640625,5,0,0,2000-08-14,2000-08-18,0,True,True
2000-08-25,593.17957640229986,638.01289089476859,588.58128511235952,632.264892578125,5,0,0,2000-08-21,2000-08-25,0,True,True
2000-09-01,636.86311140351495,703.53834016658061,629.96567698398235,695.4913330078125,5,0,0,2000-08-28,2000-09-01,0,True,True
2000-09-08,703.53823988604699,736.87583622051659,687.44443467971314,718.48297119140625,5,0,0,2000-09-04,2000-09-08,0,True,True
2000-09-15,706.98718211689936,712.73504538614247,656.40587365173553,664.452880859375,4,0,0,2000-09-11,2000-09-15,1,True,True
2000-09-22,651.80780029296875,669.05125537195192,621.91873979048296,641.46142578125,5,0,0,2000-09-18,2000-09-22,0,True,True
2000-09-29,652.95719928913286,710.435696549152,626.51707856551457,686.294677734375,5,0,0,2000-09-25,2000-09-29,0,True,True
2000-10-06,683.99543634625184,719.63242069367448,672.49971472698701,705.83782958984375,5,0,0,2000-10-02,2000-10-06,0,True,True
2000-10-13,683.99586025037263,708.13689061215052,662.15375415973381,701.23931884765625,4,0,0,2000-10-09,2000-10-13,1,True,True
2000-10-20,712.73524213377323,725.38054481679183,678.24779320396851,690.89306640625,4,0,0,2000-10-16,2000-10-20,1,True,True
2000-10-27,689.74358053768378,718.48289639342056,643.76056070243362,649.5084228515625,4,0,0,2000-10-23,2000-10-27,1,True,True
2000-11-03,651.80764082100632,670.20063379914745,640.31191523333428,654.1068115234375,4,0,0,2000-10-30,2000-11-03,1,True,True
2000-11-10,631.11539511156332,665.60253756075622,626.51703100805878,638.01275634765625,5,0,0,2000-11-06,2000-11-10,0,True,True
2000-11-17,617.320323794356,628.81613443858589,566.73936767578118,603.52569580078125,5,0,0,2000-11-13,2000-11-17,0,True,True
2000-11-24,580.53441854623645,605.82502687894385,572.48717125618805,596.628173828125,4,0,0,2000-11-20,2000-11-24,1,True,True
2000-12-01,596.62812577170882,664.45314058811539,574.78636503219604,639.16253662109375,5,0,0,2000-11-27,2000-12-01,0,True,True
2000-12-08,649.5084228515625,663.30329200947176,597.7776880390478,608.12384033203125,5,0,0,2000-12-04,2000-12-08,0,True,True
2000-12-15,619.61976118528969,677.0982017384174,616.17104266292256,661.004150390625,5,0,0,2000-12-11,2000-12-15,0,True,True
2000-12-22,643.76057067652323,649.50843291470653,592.02986309519486,644.9102783203125,5,0,0,2000-12-18,2000-12-22,0,True,True
2000-12-29,664.45296718649672,701.23901877514891,651.80766850301666,687.44415283203125,5,0,0,2000-12-25,2000-12-29,0,True,True
2001-01-05,693.19224792480475,698.94011067708334,649.50843596122638,652.9571533203125,2,0,0,2001-01-01,2001-01-05,3,True,True
2001-01-12,629.96569824218739,649.50842975699982,593.17956496554177,605.82470703125,4,0,0,2001-01-08,2001-01-12,1,True,True
2001-01-19,609.27341280902942,625.36742748700385,589.73082275390618,605.82470703125,5,0,0,2001-01-15,2001-01-19,0,True,True
2001-01-26,604.67545377291162,609.27374619704028,569.0384892054966,579.3846435546875,5,0,0,2001-01-22,2001-01-26,0,True,True
2001-02-02,574.78635249013655,588.58112745098038,549.49580062897928,586.281982421875,5,0,0,2001-01-29,2001-02-02,0,True,True
2001-02-09,557.54270001876455,567.88885321498901,527.65360670823316,539.1497802734375,5,0,0,2001-02-05,2001-02-09,0,True,True
2001-02-16,544.89748535156241,548.3462036132812,511.55950927734369,511.55950927734369,4,0,0,2001-02-12,2001-02-16,1,True,True
2001-02-23,510.41005064498546,529.9531398169978,490.86732348065044,509.26080322265631,5,0,0,2001-02-19,2001-02-23,0,True,True
2001-03-02,511.55971890806887,563.2905478183884,500.06399488766283,516.15826416015625,5,0,0,2001-02-26,2001-03-02,0,True,True
2001-03-09,517.30776417012123,532.25229636428128,503.51273463716439,525.3548583984375,5,0,0,2001-03-05,2001-03-09,0,True,True
2001-03-16,536.85031531741458,540.29903254643443,478.22206365411932,517.3077392578125,4,0,0,2001-03-12,2001-03-16,1,True,True
2001-03-23,523.05571240982283,559.8419311523437,519.606993426901,551.794921875,4,0,0,2001-03-19,2001-03-23,1,True,True
2001-03-30,541.44869697384718,577.22743231275308,540.29912436880716,557.443603515625,5,0,0,2001-03-26,2001-03-30,0,True,True
2001-04-06,551.62448603367341,595.84755489021961,529.51295600278775,559.77099609375,5,0,0,2001-04-02,2001-04-06,0,True,True
2001-04-13,559.77091951069076,581.88249225075913,541.15074141377806,579.55487060546875,5,0,0,2001-04-09,2001-04-13,0,True,True
2001-04-20,585.37374096679684,587.70127075195307,557.4434736887614,563.26214599609375,5,0,0,2001-04-16,2001-04-20,0,True,True
