asset,lookback,eligible,both_sides,ssl_rejections,bsl_rejections,any_breach
NQ_YAHOO,1,1312,143,210,230,1206
NQ_YAHOO,4,1255,8,144,219,794
NQ_YAHOO,13,1123,0,59,146,462
NQ_YAHOO,52,825,0,8,104,269
NDX,1,2134,249,318,337,1953
NDX,4,2131,7,225,341,1337
NDX,13,2122,0,105,266,870
NDX,52,2083,0,29,211,573
SP500,1,3374,351,548,595,3071
SP500,4,3371,16,392,604,2130
SP500,13,3362,0,181,432,1312
SP500,52,3323,0,67,337,888
SP500_MODERN,1,2314,266,332,369,2098
SP500_MODERN,4,2311,14,234,385,1458
SP500_MODERN,13,2302,0,96,282,916
SP500_MODERN,52,2263,0,26,234,642
STORA,1,1383,154,194,192,1185
STORA,4,1377,11,178,198,773
STORA,13,1359,1,89,103,389
STORA,52,1281,0,42,57,202
STORA_ADJ,1,1383,153,197,200,1194
STORA_ADJ,4,1377,11,180,201,779
STORA_ADJ,13,1359,1,89,109,402
STORA_ADJ,52,1281,0,37,69,216
MPS,1,1372,132,218,200,1145
MPS,4,1363,7,184,139,702
MPS,13,1336,0,105,64,387
MPS,52,1219,0,44,33,202
MPS_ADJ,1,1319,133,224,199,1119
MPS_ADJ,4,1307,6,184,144,687
MPS_ADJ,13,1271,0,104,69,381
MPS_ADJ,52,1120,0,48,35,205
ORELL,1,1553,138,258,146,1146
ORELL,4,1514,8,177,111,668
ORELL,13,1407,0,93,61,371
ORELL,52,1141,0,45,35,184
ORELL_ADJ,1,1553,197,274,179,1221
ORELL_ADJ,4,1514,15,193,151,728
ORELL_ADJ,13,1407,1,106,84,402
ORELL_ADJ,52,1141,0,52,51,208
MATSUI,1,1336,113,194,202,1100
MATSUI,4,1330,7,133,152,632
MATSUI,13,1312,0,62,79,312
MATSUI,52,1234,0,24,32,146
MATSUI_ADJ,1,1336,132,203,222,1130
MATSUI_ADJ,4,1330,9,134,169,649
MATSUI_ADJ,13,1312,1,60,97,327
MATSUI_ADJ,52,1234,0,24,47,160
SUMITOMO,1,1388,120,179,229,1211
SUMITOMO,4,1382,3,134,177,752
SUMITOMO,13,1364,0,75,90,409
SUMITOMO,52,1286,0,32,47,175
SUMITOMO_ADJ,1,1388,125,179,233,1221
SUMITOMO_ADJ,4,1382,3,138,185,763
SUMITOMO_ADJ,13,1364,0,79,91,418
SUMITOMO_ADJ,52,1286,0,31,47,177
BNY,1,2782,240,348,391,2311
BNY,4,2779,15,256,324,1426
BNY,13,2770,0,131,233,799
BNY,52,2731,0,42,154,438
BNY_ADJ,1,2782,275,398,435,2389
BNY_ADJ,4,2779,18,280,371,1493
BNY_ADJ,13,2770,0,139,248,831
BNY_ADJ,52,2731,0,41,169,462
ED,1,3373,238,441,441,2722
ED,4,3370,12,310,364,1719
ED,13,3361,2,164,221,940
ED,52,3322,0,57,133,473
ED_ADJ,1,3373,310,530,540,2865
ED_ADJ,4,3370,17,362,459,1828
ED_ADJ,13,3361,2,168,293,1041
ED_ADJ,52,3322,0,52,219,614
NQ_LOCAL_SNAPSHOT,1,517,57,70,89,475
NQ_LOCAL_SNAPSHOT,4,440,3,38,83,288
NQ_LOCAL_SNAPSHOT,13,269,0,9,41,118
NQ_LOCAL_SNAPSHOT,52,0,0,0,0,0
NQ_LOCAL_FIXED,1,513,56,68,89,471
NQ_LOCAL_FIXED,4,436,3,38,82,286
NQ_LOCAL_FIXED,13,265,0,9,41,118
NQ_LOCAL_FIXED,52,0,0,0,0,0
