asset,rule,direction,horizon,formed,n,censored,edge_hits,edge_rate,edge_range_touches,edge_open_passes,edge_open_known,edge_median_wait,ce_hits,ce_rate,ce_range_touches,ce_open_passes,ce_open_known,ce_median_wait,far_hits,far_rate,far_range_touches,far_open_passes,far_open_known,far_median_wait
NQ_YAHOO,fvg_raw,1,1,214,211,3,64,0.30331753554502372,64,2,64,1,45,0.2132701421800948,45,2,45,1,35,0.16587677725118483,35,0,35,1
NQ_YAHOO,fvg_raw,1,4,214,200,14,111,0.55500000000000005,111,2,111,1,94,0.46999999999999997,94,2,94,2,75,0.375,75,0,75,2
NQ_YAHOO,fvg_raw,1,13,214,195,19,146,0.74871794871794872,146,2,146,2,136,0.6974358974358974,136,3,136,3,125,0.64102564102564108,125,0,124,3
NQ_YAHOO,fvg_raw,1,52,214,154,60,128,0.83116883116883122,128,2,128,2,121,0.7857142857142857,121,3,121,3,113,0.73376623376623373,113,0,112,4
NQ_YAHOO,fvg_raw,-1,1,90,89,1,42,0.47191011235955055,42,0,42,1,33,0.3707865168539326,33,0,33,1,22,0.24719101123595505,22,0,22,1
NQ_YAHOO,fvg_raw,-1,4,90,81,9,57,0.70370370370370372,57,0,57,1,51,0.62962962962962965,51,1,51,1,45,0.55555555555555558,45,1,45,2
NQ_YAHOO,fvg_raw,-1,13,90,69,21,59,0.85507246376811596,59,0,59,1,57,0.82608695652173914,57,1,57,2,53,0.76811594202898548,53,1,53,3
NQ_YAHOO,fvg_raw,-1,52,90,53,37,50,0.94339622641509435,50,1,50,1,50,0.94339622641509435,50,1,50,2,49,0.92452830188679247,49,1,49,3
NQ_YAHOO,fvg_disp,1,1,123,121,2,43,0.35537190082644626,43,2,43,1,28,0.23140495867768596,28,2,28,1,22,0.18181818181818182,22,0,22,1
NQ_YAHOO,fvg_disp,1,4,123,118,5,71,0.60169491525423724,71,2,71,1,61,0.51694915254237284,61,2,61,2,47,0.39830508474576271,47,0,47,2
NQ_YAHOO,fvg_disp,1,13,123,114,9,85,0.74561403508771928,85,2,85,2,79,0.69298245614035092,79,2,79,2,71,0.6228070175438597,71,0,71,3
NQ_YAHOO,fvg_disp,1,52,123,97,26,81,0.83505154639175261,81,2,81,2,76,0.78350515463917525,76,2,76,3,70,0.72164948453608246,70,0,70,4
NQ_YAHOO,fvg_disp,-1,1,59,58,1,27,0.46551724137931033,27,0,27,1,19,0.32758620689655171,19,0,19,1,12,0.20689655172413793,12,0,12,1
NQ_YAHOO,fvg_disp,-1,4,59,55,4,38,0.69090909090909092,38,0,38,1,33,0.59999999999999998,33,1,33,1,30,0.54545454545454541,30,1,30,2
NQ_YAHOO,fvg_disp,-1,13,59,49,10,41,0.83673469387755106,41,0,41,1,40,0.81632653061224492,40,1,40,2,37,0.75510204081632648,37,1,37,2
NQ_YAHOO,fvg_disp,-1,52,59,38,21,36,0.94736842105263153,36,1,36,1,36,0.94736842105263153,36,1,36,2,35,0.92105263157894735,35,1,35,3
NQ_YAHOO,sweep_fvg,1,1,51,51,0,23,0.45098039215686275,23,1,23,1,13,0.25490196078431371,13,1,13,1,12,0.23529411764705882,12,0,12,1
