asset,rule,cost_bps,n,mean,median,positive,profit_factor,skipped_overlap,unavailable
NQ_YAHOO,sweep_1,0,209,-0.0029963049670751504,-0.0071428571428571175,0.42105263157894735,0.87162214836829011,208,23
NQ_YAHOO,sweep_1,10,209,-0.0039963049670751517,-0.0081428571428571184,0.42105263157894735,0.83292118702595441,208,23
NQ_YAHOO,sweep_1,25,209,-0.0054963049670751522,-0.009642857142857118,0.41148325358851673,0.77832981780361421,208,23
NQ_YAHOO,sweep_fvg,0,60,0.00049558229724039338,0.0049907631026487875,0.56666666666666665,1.0240369259520521,11,4
NQ_YAHOO,sweep_fvg,10,60,-0.00050441770275960751,0.0039907631026487875,0.56666666666666665,0.97603815861355991,11,4
NQ_YAHOO,sweep_fvg,25,60,-0.0020044177027596088,0.0024907631026487875,0.53333333333333333,0.90777241140267062,11,4
NDX,sweep_1,0,339,-0.0038094215714980281,-0.0075816213429613644,0.44542772861356933,0.84882515221528521,315,1
NDX,sweep_1,10,339,-0.0048094215714980298,-0.0085816213429613653,0.43067846607669619,0.81332555679126084,315,1
NDX,sweep_1,25,339,-0.0063094215714980303,-0.010081621342961365,0.42772861356932151,0.76296873342062943,315,1
NDX,sweep_fvg,0,95,0.0041978278983325363,0.011797303591342345,0.61052631578947369,1.1795318549648832,28,1
NDX,sweep_fvg,10,95,0.0031978278983325358,0.010797303591342344,0.59999999999999998,1.1344871296992163,28,1
NDX,sweep_fvg,25,95,0.0016978278983325343,0.0092973035913423447,0.59999999999999998,1.0696460563003116,28,1
SP500,sweep_1,0,370,0.0014464892240691363,-0.0013804003295930789,0.48648648648648651,1.0901902564973185,330,443
SP500,sweep_1,10,370,0.00044648922406913537,-0.0023804003295930789,0.48108108108108111,1.0269684466334663,330,443
SP500,sweep_1,25,370,-0.0010535107759308657,-0.0038804003295930794,0.45945945945945948,0.93927888724543662,330,443
SP500,sweep_fvg,0,119,-0.0051419874876753556,0.00021509272989850281,0.50420168067226889,0.73255712302816522,25,1
SP500,sweep_fvg,10,119,-0.0061419874876753565,-0.00078490727010149721,0.49579831932773111,0.68868042433567267,25,1
SP500,sweep_fvg,25,119,-0.0076419874876753552,-0.0022849072701014972,0.45378151260504201,0.62770361957574639,25,1
SP500_MODERN,sweep_1,0,370,0.0014979972066441365,-0.0013804003295930789,0.48648648648648651,1.0934018380858979,329,2
SP500_MODERN,sweep_1,10,370,0.00049799720664413564,-0.0023804003295930789,0.48108108108108111,1.0300795861736587,329,2
SP500_MODERN,sweep_1,25,370,-0.0010020027933558655,-0.0038804003295930794,0.45945945945945948,0.94224764854257026,329,2
SP500_MODERN,sweep_fvg,0,117,-0.0038805907786300139,0.00021509272989850281,0.50427350427350426,0.78428974998950263,23,1
SP500_MODERN,sweep_fvg,10,117,-0.0048805907786300144,-0.00078490727010149721,0.49572649572649574,0.73607393752386041,23,1
SP500_MODERN,sweep_fvg,25,117,-0.006380590778630014,-0.0022849072701014972,0.45299145299145299,0.66924214330661269,23,1
STORA,sweep_1,0,221,0.00093719820031027854,0.0055236622273542313,0.5113122171945701,1.0269709468267241,163,2
STORA,sweep_1,10,221,-6.2801799689722398e-05,0.0045236622273542313,0.5113122171945701,0.99821773759527066,163,2
STORA,sweep_1,25,221,-0.0015628017996897215,0.0030236622273542312,0.50678733031674206,0.95655740034176195,163,2
STORA,sweep_fvg,0,59,-0.022360171621318575,-0.014558676136881332,0.42372881355932202,0.55063087001853606,11,0
STORA,sweep_fvg,10,59,-0.023360171621318575,-0.015558676136881333,0.42372881355932202,0.53590876616886174,11,0
STORA,sweep_fvg,25,59,-0.024860171621318577,-0.017058676136881331,0.42372881355932202,0.5144469951201861,11,0
STORA_ADJ,sweep_1,0,225,-0.0042642693275323105,-0.00092943124984223857,0.49777777777777776,0.88644944984710827,170,2
STORA_ADJ,sweep_1,10,225,-0.0052642693275323123,-0.0019294312498422386,0.49777777777777776,0.86167100132524144,170,2
STORA_ADJ,sweep_1,25,225,-0.0067642693275323119,-0.0034294312498422386,0.48888888888888887,0.8257227745670318,170,2
STORA_ADJ,sweep_fvg,0,59,-0.026445478318096658,-0.020137089896405391,0.40677966101694918,0.4992274549810643,13,0
STORA_ADJ,sweep_fvg,10,59,-0.027445478318096659,-0.021137089896405392,0.40677966101694918,0.48606457936786285,13,0
STORA_ADJ,sweep_fvg,25,59,-0.02894547831809666,-0.02263708989640539,0.40677966101694918,0.4668596013639667,13,0
MPS,sweep_1,0,210,0.0082496161345604838,-0.0036766282666597649,0.47619047619047616,1.177364382791851,204,4
MPS,sweep_1,10,210,0.0072496161345604847,-0.004676628266659765,0.47619047619047616,1.1541289074225387,204,4
MPS,sweep_1,25,210,0.0057496161345604885,-0.0061766282666597654,0.47142857142857142,1.1202230558937523,204,4
MPS,sweep_fvg,0,57,0.030173023258170006,0.018252047122205406,0.56140350877192979,1.8627914087097577,15,3
MPS,sweep_fvg,10,57,0.029173023258170006,0.017252047122205405,0.56140350877192979,1.8238640596362961,15,3
MPS,sweep_fvg,25,57,0.027673023258170008,0.015752047122205407,0.56140350877192979,1.7672481674087162,15,3
MPS_ADJ,sweep_1,0,208,0.0066470601556290069,-0.0042038127934855285,0.46634615384615385,1.1406720577772074,211,4
MPS_ADJ,sweep_1,10,208,0.005647060155629006,-0.0052038127934855285,0.46634615384615385,1.1181743781016287,211,4
MPS_ADJ,sweep_1,25,208,0.0041470601556290055,-0.006703812793485529,0.46153846153846156,1.0853495405632514,211,4
MPS_ADJ,sweep_fvg,0,58,0.025133925940626231,0.012038680846268801,0.53448275862068961,1.6730445891388268,15,3
MPS_ADJ,sweep_fvg,10,58,0.024133925940626234,0.0110386808462688,0.53448275862068961,1.6383092388794778,15,3
MPS_ADJ,sweep_fvg,25,58,0.022633925940626232,0.0095386808462688006,0.53448275862068961,1.5877809007015382,15,3
ORELL,sweep_1,0,212,-0.00076507492758935887,0,0.47169811320754718,0.95687532375824258,183,9
ORELL,sweep_1,10,212,-0.0017650749275893596,-0.001,0.46698113207547171,0.90339263457548347,183,9
ORELL,sweep_1,25,212,-0.003265074927589361,-0.0025000000000000001,0.43867924528301888,0.82898926869661305,183,9
ORELL,sweep_fvg,0,28,0.014474534877197113,0.014857310973815818,0.6428571428571429,2.9443392654357554,4,0
ORELL,sweep_fvg,10,28,0.013474534877197112,0.013857310973815817,0.6428571428571429,2.7271519439977912,4,0
ORELL,sweep_fvg,25,28,0.01197453487719711,0.012357310973815818,0.6428571428571429,2.4362594336298975,4,0
ORELL_ADJ,sweep_1,0,227,-0.00091659478285430131,-6.927221762875746e-08,0.47577092511013214,0.94883855485706592,216,10
ORELL_ADJ,sweep_1,10,227,-0.0019165947828543022,-0.0010000692722176288,0.47136563876651982,0.89608779920520898,216,10
ORELL_ADJ,sweep_1,25,227,-0.0034165947828543033,-0.0025000692722176288,0.44933920704845814,0.82255028072992964,216,10
ORELL_ADJ,sweep_fvg,0,30,0.020821993435605278,0.015181850445933565,0.69999999999999996,4.0380248550007742,3,0
ORELL_ADJ,sweep_fvg,10,30,0.019821993435605277,0.014181850445933564,0.69999999999999996,3.7708368806147301,3,0
ORELL_ADJ,sweep_fvg,25,30,0.018321993435605279,0.012681850445933564,0.69999999999999996,3.4095860414409462,3,0
MATSUI,sweep_1,0,202,-0.00052835377269152303,0.0011381047953685774,0.50495049504950495,0.98034360347449856,194,0
MATSUI,sweep_1,10,202,-0.0015283537726915239,0.00013810479536857743,0.5,0.94416961352420792,194,0
MATSUI,sweep_1,25,202,-0.0030283537726915255,-0.0013618952046314226,0.49504950495049505,0.89234659855491993,194,0
MATSUI,sweep_fvg,0,40,0.0020676053608146448,0.0058058520983705897,0.52500000000000002,1.0609375272976322,11,0
MATSUI,sweep_fvg,10,40,0.0010676053608146441,0.0048058520983705897,0.52500000000000002,1.031030602428765,11,0
MATSUI,sweep_fvg,25,40,-0.00043239463918535727,0.0033058520983705892,0.52500000000000002,0.98768717484376123,11,0
MATSUI_ADJ,sweep_1,0,214,0.0012356817478111856,0.0020026723738127972,0.51869158878504673,1.0481280832849367,211,0
MATSUI_ADJ,sweep_1,10,214,0.00023568174781118478,0.0010026723738127971,0.50467289719626163,1.0090072088423967,211,0
MATSUI_ADJ,sweep_1,25,214,-0.0012643182521888169,-0.00049732762618720288,0.5,0.95302415734906942,211,0
MATSUI_ADJ,sweep_fvg,0,42,0.0040676092599926366,0.0013274420097761364,0.5,1.1275928728268088,9,0
MATSUI_ADJ,sweep_fvg,10,42,0.0030676092599926361,0.00032744200977613633,0.5,1.0947389598007933,9,0
MATSUI_ADJ,sweep_fvg,25,42,0.0015676092599926348,-0.0011725579902238641,0.5,1.0473174877203504,9,0
SUMITOMO,sweep_1,0,217,0.009414825503981164,0.014767932489451407,0.54377880184331795,1.2416620025076324,191,0
SUMITOMO,sweep_1,10,217,0.0084148255039811649,0.013767932489451407,0.54377880184331795,1.2134936670689649,191,0
SUMITOMO,sweep_1,25,217,0.0069148255039811661,0.012267932489451407,0.54377880184331795,1.1724429638170304,191,0
SUMITOMO,sweep_fvg,0,57,0.010738491901211367,0.001388888888888884,0.50877192982456143,1.289338287052096,12,0
SUMITOMO,sweep_fvg,10,57,0.0097384919012113661,0.00038888888888888393,0.50877192982456143,1.258966657319494,12,0
SUMITOMO,sweep_fvg,25,57,0.00823849190121137,-0.0011111111111111161,0.49122807017543857,1.2147592035482391,12,0
SUMITOMO_ADJ,sweep_1,0,215,0.01007226129005623,0.014151973398386031,0.54418604651162794,1.2517260083326704,197,0
SUMITOMO_ADJ,sweep_1,10,215,0.0090722612900562289,0.01315197339838603,0.53953488372093028,1.224154450918679,197,0
SUMITOMO_ADJ,sweep_1,25,215,0.0075722612900562302,0.01165197339838603,0.53953488372093028,1.1839536765961822,197,0
SUMITOMO_ADJ,sweep_fvg,0,57,0.0064365291532860859,0.0013885265853961215,0.50877192982456143,1.1599900544161765,12,0
SUMITOMO_ADJ,sweep_fvg,10,57,0.0054365291532860851,0.00038852658539612148,0.50877192982456143,1.1335033727306771,12,0
SUMITOMO_ADJ,sweep_fvg,25,57,0.0039365291532860863,-0.0011114734146038785,0.49122807017543857,1.09490557189946,12,0
BNY,sweep_1,0,406,-0.00043063105374572971,-0.0022878952853379042,0.46798029556650245,0.98502852088983595,333,0
BNY,sweep_1,10,406,-0.0014306310537457307,-0.0032878952853379042,0.46798029556650245,0.95116541336821736,333,0
BNY,sweep_1,25,406,-0.0029306310537457313,-0.0047878952853379047,0.46798029556650245,0.90261573701302578,333,0
BNY,sweep_fvg,0,103,-0.0093501472768983008,0.00090214062674087714,0.50485436893203883,0.70121296856453208,24,0
BNY,sweep_fvg,10,103,-0.010350147276898298,-9.7859373259122882e-05,0.49514563106796117,0.67441904266816222,24,0
BNY,sweep_fvg,25,103,-0.0118501472768983,-0.0015978593732591229,0.49514563106796117,0.63590731672486733,24,0
BNY_ADJ,sweep_1,0,443,-0.00062985427338623282,-0.0037595851691749615,0.45823927765237021,0.97802740523167309,390,0
BNY_ADJ,sweep_1,10,443,-0.0016298542733862336,-0.0047595851691749616,0.44695259593679459,0.94421655961386164,390,0
BNY_ADJ,sweep_1,25,443,-0.0031298542733862351,-0.006259585169174962,0.44695259593679459,0.89583506268050017,390,0
BNY_ADJ,sweep_fvg,0,119,-0.0033426152402012826,0.00099384265126101212,0.51260504201680668,0.88152326493360855,26,0
BNY_ADJ,sweep_fvg,10,119,-0.0043426152402012835,-6.1573487389878986e-06,0.49579831932773111,0.8486974456550308,26,0
BNY_ADJ,sweep_fvg,25,119,-0.0058426152402012814,-0.0015061573487389879,0.48739495798319327,0.80169844744134489,26,0
ED,sweep_1,0,475,0.0024002715500747599,0,0.4905263157894737,1.1308422412644614,404,3
ED,sweep_1,10,475,0.001400271550074759,-0.001,0.48842105263157892,1.0742660197387783,404,3
