asset,rule,direction,signal,entry,exit,entry_open,exit_close,gross,net10,net25
NQ_YAHOO,sweep_1,1,2000-11-17,2000-11-24,2000-12-15,2929,2583.280029296875,-0.11803344851591835,-0.11903344851591835,-0.12053344851591835
NQ_YAHOO,sweep_1,-1,2000-12-15,2000-12-22,2001-01-12,2619.5,2540,0.030349303302156905,0.029349303302156904,0.027849303302156906
NQ_YAHOO,sweep_1,-1,2001-01-12,2001-01-19,2001-02-09,2532,2277,0.10071090047393361,0.099710900473933606,0.098210900473933604
NQ_YAHOO,sweep_1,-1,2001-05-04,2001-05-11,2001-06-01,1941.5,1851.5,0.046355910378573228,0.045355910378573228,0.043855910378573226
NQ_YAHOO,sweep_1,-1,2001-06-08,2001-06-15,2001-07-06,1900,1683.5,0.11394736842105269,0.11294736842105269,0.11144736842105268
NQ_YAHOO,sweep_1,1,2001-07-13,2001-07-20,2001-08-10,1767,1624,-0.080928126768534225,-0.081928126768534226,-0.083428126768534228
NQ_YAHOO,sweep_1,-1,2001-10-19,2001-10-26,2001-11-16,1353.5,1585,-0.17103804950129287,-0.17203804950129287,-0.17353804950129287
NQ_YAHOO,sweep_1,-1,2001-11-16,2001-11-23,2001-12-14,1587.5,1612.5,-0.015748031496062964,-0.016748031496062965,-0.018248031496062963
NQ_YAHOO,sweep_1,1,2001-12-21,2001-12-28,2002-01-18,1595,1554.5,-0.025391849529780575,-0.026391849529780576,-0.027891849529780573
NQ_YAHOO,sweep_1,-1,2002-04-19,2002-04-26,2002-05-17,1388,1326,0.044668587896253609,0.043668587896253608,0.042168587896253606
NQ_YAHOO,sweep_1,-1,2002-08-02,2002-08-09,2002-08-30,894.5,943.5,-0.054779206260480606,-0.055779206260480607,-0.057279206260480608
NQ_YAHOO,sweep_1,-1,2002-09-13,2002-09-20,2002-10-11,925,894.5,0.032972972972972969,0.031972972972972968,0.030472972972972971
NQ_YAHOO,sweep_1,-1,2002-11-08,2002-11-15,2002-12-06,1009,1067,-0.057482656095143803,-0.058482656095143803,-0.059982656095143805
NQ_YAHOO,sweep_1,1,2002-12-20,2002-12-27,2003-01-17,1025,1020,-0.0048780487804878092,-0.0058780487804878092,-0.0073780487804878097
NQ_YAHOO,sweep_1,1,2003-02-14,2003-02-21,2003-03-14,986.5,1034.5,0.048656867714140795,0.047656867714140794,0.046156867714140792
NQ_YAHOO,sweep_1,-1,2003-05-16,2003-05-23,2003-06-13,1154,1207,-0.045927209705372674,-0.046927209705372674,-0.048427209705372676
NQ_YAHOO,sweep_1,1,2003-10-03,2003-10-10,2003-10-31,1375.5,1418,0.030897855325336288,0.029897855325336287,0.028397855325336289
NQ_YAHOO,sweep_1,-1,2003-10-31,2003-11-07,2003-11-28,1412.5,1425,-0.0088495575221239076,-0.0098495575221239084,-0.011349557522123908
NQ_YAHOO,sweep_1,-1,2003-12-05,2003-12-12,2004-01-02,1409.5,1466.5,-0.040439872295140011,-0.041439872295140012,-0.042939872295140014
NQ_YAHOO,sweep_1,-1,2004-01-23,2004-01-30,2004-02-20,1530.5,1483.5,0.030708918654034578,0.029708918654034577,0.028208918654034579
NQ_YAHOO,sweep_1,1,2004-02-27,2004-03-05,2004-03-26,1473,1419.5,-0.0363204344874406,-0.037320434487440601,-0.038820434487440603
NQ_YAHOO,sweep_1,-1,2004-04-09,2004-04-16,2004-05-07,1489,1406,0.055742108797850909,0.054742108797850908,0.053242108797850907
NQ_YAHOO,sweep_1,1,2004-05-14,2004-05-21,2004-06-11,1398.5,1482,0.059706828745083929,0.058706828745083928,0.057206828745083926
NQ_YAHOO,sweep_1,1,2004-06-18,2004-06-25,2004-07-16,1469,1397.5,-0.048672566371681381,-0.049672566371681381,-0.051172566371681383
NQ_YAHOO,sweep_1,1,2004-07-30,2004-08-06,2004-08-27,1400,1390,-0.0071428571428571175,-0.0081428571428571184,-0.009642857142857118
NQ_YAHOO,sweep_1,-1,2004-10-08,2004-10-15,2004-11-05,1435.5,1530.5,-0.06617903169627315,-0.06717903169627315,-0.068679031696273152
NQ_YAHOO,sweep_1,-1,2004-11-26,2004-12-03,2004-12-24,1577.5,1618.5,-0.025990491283676809,-0.02699049128367681,-0.028490491283676807
NQ_YAHOO,sweep_1,1,2004-12-24,2004-12-31,2005-01-21,1620,1509.5,-0.068209876543209869,-0.069209876543209869,-0.070709876543209871
NQ_YAHOO,sweep_1,1,2005-01-28,2005-02-04,2005-02-25,1513,1531,0.01189689358889634,0.010896893588896339,0.0093968935888963396
NQ_YAHOO,sweep_1,1,2005-02-25,2005-03-04,2005-03-25,1530.5,1480,-0.032995753021888286,-0.033995753021888286,-0.035495753021888288
NQ_YAHOO,sweep_1,-1,2005-04-01,2005-04-08,2005-04-29,1478,1425.5,0.035520974289580565,0.034520974289580564,0.033020974289580562
NQ_YAHOO,sweep_1,1,2005-04-29,2005-05-06,2005-05-27,1426,1552,0.088359046283309928,0.087359046283309927,0.085859046283309925
NQ_YAHOO,sweep_1,-1,2005-07-29,2005-08-05,2005-08-26,1616,1563.5,0.032487623762376239,0.031487623762376238,0.02998762376237624
NQ_YAHOO,sweep_1,1,2005-09-02,2005-09-09,2005-09-30,1578.5,1614,0.022489705416534722,0.021489705416534721,0.019989705416534723
NQ_YAHOO,sweep_1,1,2005-10-14,2005-10-21,2005-11-11,1550.5,1659,0.069977426636568918,0.068977426636568917,0.067477426636568916
